"School Year","County","Grade","Enrolled","% 4+DTAP","% 3+Polio","% 2+ MMR","% 3+Hep B","% 1+Varicella","% Personal Exempt","% Medical Exempt"
"2011-2012","Apache","Kindergarten","836","95.9","96.1","95.9","98.1","97.7","1.8","0"
"2011-2012","Cochise","Kindergarten","1,645","95","95.1","94.7","97.3","97.3","2.8","0.2"
"2011-2012","Coconino","Kindergarten","1,213","91.4","92","91.4","95.3","95.7","6.2","0.2"
"2011-2012","Gila","Kindergarten","599","97.2","97.3","95.5","97.7","96","2.2","0"
"2011-2012","Graham","Kindergarten","586","94.4","94.7","93.5","96.9","98.1","1.5","0"
"2011-2012","Greenlee","Kindergarten","27","85.2","70.4","74.1","88.9","88.9","11.1","0"
"2011-2012","La Paz","Kindergarten","231","97.4","97","96.5","97.8","97.8","2.6","0"
"2011-2012","Maricopa","Kindergarten","54,518","94.8","95","94.8","96.3","97.1","3.7","0.3"
"2011-2012","Mohave","Kindergarten","1,801","90.3","91.1","89.6","93.4","94.1","5.1","0.1"
"2011-2012","Navajo","Kindergarten","1,628","94.8","94.3","93.7","96.9","96.9","3.1","0.3"
"2011-2012","Pima","Kindergarten","12,087","96.2","96.4","96.5","97.7","98.2","1.9","0.3"
"2011-2012","Pinal","Kindergarten","4,633","93.9","94.4","94.1","95.2","96.1","4.6","0.2"
"2011-2012","Santa Cruz","Kindergarten","735","98.2","98.1","97.8","99.2","99","1","0.3"
"2011-2012","Yavapai","Kindergarten","1,886","89.6","85.6","84.9","87.3","86.9","9.2","0.2"
"2011-2012","Yuma","Kindergarten","2,811","98.2","98.2","97.4","99.1","98.7","0.3","0.1"
"2011-2012","Total","Kindergarten","85,316","94.9","95","94.7","96.3","96.9","3.4","0.3"
