"School Year","County","Grade","Enrolled","% 4+DTAP","% 3+Polio","% 2+ MMR","% 3+Hep B","% 1+Varicella","% Personal Exempt","% Medical Exempt","% Exempt from Every Req'd Vaccine"
"2017-2018","Apache","Kindergarten","798","96.7","96.5","96.5","97.4","97.6","2.5","0","2.3"
"2017-2018","Cochise","Kindergarten","1,305","96.2","96.7","95.6","96.5","97.4","2.7","0.2","1.8"
"2017-2018","Coconino","Kindergarten","1,005","91","90.9","90.2","91.6","93.4","10.3","0.3","6.5"
"2017-2018","Gila","Kindergarten","766","94","91.8","90.9","94","96.2","4.7","0.9","2.2"
"2017-2018","Graham","Kindergarten","475","95.4","94.1","94.5","98.1","97.3","2.7","0","1.1"
"2017-2018","Greenlee","Kindergarten","157","94.3","93.6","93.6","97.5","98.1","2.5","0","2.5"
"2017-2018","La Paz","Kindergarten","158","97.5","98.7","98.1","98.1","98.7","1.3","0","1.3"
"2017-2018","Maricopa","Kindergarten","53,503","93","93.5","93.1","94.6","95.9","5.9","0.6","3.7"
"2017-2018","Mohave","Kindergarten","1,792","91.6","92.1","92.1","94.1","95.4","6.8","0.9","4.2"
"2017-2018","Navajo","Kindergarten","1,302","91","91.5","90.4","94.1","94.5","5.1","1.1","4"
"2017-2018","Pima","Kindergarten","10,818","96.2","96.5","96.4","96.8","97.7","2.7","0.5","1.8"
"2017-2018","Pinal","Kindergarten","4,323","93.9","94.1","93.7","95","95.8","5","0.2","3.4"
"2017-2018","Santa Cruz","Kindergarten","757","97.9","97.4","97","98.2","98.3","1.3","0.1","0.5"
"2017-2018","Yavapai","Kindergarten","1,734","83","83.9","81.1","86.8","87.7","14","0.2","10"
"2017-2018","Yuma","Kindergarten","2,801","97.4","97.5","97","98.4","96.3","1.2","0.1","0.5"
"2017-2018","State Totals","Kindergarten","81,710","93.5","93.9","93.4","94.9","96","5.4","0.7","3.5"
