"School Year","County","Grade","Enrolled","% 4+DTAP","% 3+Polio","% 2+ MMR","% 3+Hep B","% 1+Varicella","% Personal Exempt","% Medical Exempt","% Exempt from Every Req'd Vaccine"
"2016-2017","Apache","Kindergarten","783","96.7","96.3","96","97.3","98.1","2.3","0.4","0.5"
"2016-2017","Cochise","Kindergarten","1,490","95.4","96.4","96","96.9","97.9","1.9","0.1","1.1"
"2016-2017","Coconino","Kindergarten","1,258","92.8","93.2","93.1","94","95","7.4","0.5","3.9"
"2016-2017","Gila","Kindergarten","566","94","90.1","89.6","94.3","97.3","3.2","0.5","1.2"
"2016-2017","Graham","Kindergarten","523","96.2","96.9","96.9","97.9","98.9","3.1","0.2","1.7"
"2016-2017","Greenlee","Kindergarten","150","96.7","96.7","97.3","98","98.7","0.7","0","0.7"
"2016-2017","La Paz","Kindergarten","173","96.5","94.8","93.6","94.8","98.3","1.7","0","0.6"
"2016-2017","Maricopa","Kindergarten","54,567","93.5","94.1","93.8","94.9","96.5","5.4","0.4","2.6"
"2016-2017","Mohave","Kindergarten","1,974","92.6","93.4","86.1","93.2","96.3","5.2","0.2","2.5"
"2016-2017","Navajo","Kindergarten","1,404","91","91.5","90.6","94.2","95.4","5.2","0.1","3.3"
"2016-2017","Pima","Kindergarten","11,170","96.2","96.7","96.5","96.8","98","2.6","0.3","1.3"
"2016-2017","Pinal","Kindergarten","4,197","92.4","93.4","93.3","95.2","96.1","6.1","0.3","2.5"
"2016-2017","Santa Cruz","Kindergarten","776","97.8","97.4","97.8","99","98.8","0.8","0.1","0.3"
"2016-2017","Yavapai","Kindergarten","1,869","87.1","87.3","86.7","89.7","91.5","11.5","0.4","6.5"
"2016-2017","Yuma","Kindergarten","2,727","97.7","97.6","97.5","98.5","98.9","1","0.1","0.4"
"2016-2017","State Totals","Kindergarten","83,627","93.9","94.4","94","95.3","96.7","4.9","0.3","2.4"
