"School Year","County","Grade","Enrolled","% 4+DTAP","% 3+Polio","% 2+ MMR","% 3+Hep B","% 1+Varicella","% Personal Exempt","% Medical Exempt"
"2013-2014","Apache","Kindergarten","946","97.4","97.6","97.5","98.3","98.3","1.6","0.4"
"2013-2014","Cochise","Kindergarten","1,560","96","96.2","95.3","97.2","97.6","3.1","0.1"
"2013-2014","Coconino","Kindergarten","1,448","89.9","81.8","86.3","93","93.7","6.4","0.2"
"2013-2014","Gila","Kindergarten","430","96.3","97","94.7","97.4","97","2.3","0.7"
"2013-2014","Graham","Kindergarten","648","92.4","93.8","91.8","96.1","97.4","4.3","0"
"2013-2014","Greenlee","Kindergarten","183","95.8","95.6","97.3","98.4","99.5","1.6","0"
"2013-2014","La Paz","Kindergarten","224","95.1","95.5","96.4","97.3","99.1","2.2","0"
"2013-2014","Maricopa","Kindergarten","55,155","94.2","94.7","93.7","95.6","96.2","5.1","0.4"
"2013-2014","Mohave","Kindergarten","1,902","90.3","91","90.9","93.8","94.8","6.5","0.2"
"2013-2014","Navajo","Kindergarten","1,675","93.9","92.8","93.1","95.4","95","7.9","0.2"
"2013-2014","Pima","Kindergarten","11,893","96","96.9","96.6","97.5","97.8","2.6","0.2"
"2013-2014","Pinal","Kindergarten","4,379","92.4","93.1","92.6","95.4","95.8","4.9","0.1"
"2013-2014","Santa Cruz","Kindergarten","794","98.7","98.1","97.1","99.2","98.1","1.5","1.3"
"2013-2014","Yavapai","Kindergarten","1,712","89.8","90.5","86.8","91.2","92.3","11.6","0.2"
"2013-2014","Yuma","Kindergarten","2,912","97.6","97.9","97.7","98.9","98.7","0.7","0.2"
"2013-2014","Total","Kindergarten","85,861","94.3","94.7","93.9","95.9","96.4","4.7","0.3"
