STATE,COUNTY,STATEFP,CNTYFP,CNTYTVHH,DMAINDEX,DMA,GOOGLE_DMA
AK ,Anchorage Borough           ,2,20,95010,156,ANCHORAGE (AK)                                                       ,Anchorage AK
AK ,Kenai Peninsula Borough     ,2,122,17600,156,ANCHORAGE (AK)                                                       ,Anchorage AK
AK ,Matanuska-Susitna Borough   ,2,170,20130,156,ANCHORAGE (AK)                                                       ,Anchorage AK
AK ,Fairbanks North Star Borough,2,90,31860,203,FAIRBANKS (AK)                                                       ,Fairbanks AK
AK ,Juneau Borough              ,2,110,25270,206,JUNEAU (AK)                                                          ,Juneau AK
AK ,Juneau Borough              ,2,290,1,1,FAIRBANKS (AK)                                                       ,Fairbanks AK
AL ,Cleburne                    ,1,29,5610,9,ATLANTA (GA)                                                         ,Atlanta GA
AL ,Randolph                    ,1,111,8810,9,ATLANTA (GA)                                                         ,Atlanta GA
AL ,Bibb                        ,1,7,7820,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Blount                      ,1,9,20000,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Calhoun                     ,1,15,43960,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Cherokee                    ,1,19,10010,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Chilton                     ,1,21,15880,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Clay                        ,1,27,5780,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Cullman                     ,1,43,31150,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Etowah                      ,1,55,41270,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Fayette                     ,1,57,7450,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Greene                      ,1,63,3680,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Hale                        ,1,65,6250,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Jefferson                   ,1,73,258560,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Marion                      ,1,93,12490,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Pickens                     ,1,107,7930,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,St. Clair                   ,1,115,25220,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Shelby                      ,1,117,58280,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Talladega                   ,1,121,30630,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Tuscaloosa                  ,1,125,64890,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Walker                      ,1,127,28400,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Winston                     ,1,133,10380,40,BIRMINGHAM (AL) - ANNISTON (AL) - TUSCALOOSA (AL)                    ,Birmingham AL
AL ,Barbour                     ,1,5,10570,126,COLUMBUS (GA)                                                        ,Columbus GA
AL ,Chambers                    ,1,17,14170,126,COLUMBUS (GA)                                                        ,Columbus GA
AL ,Lee                         ,1,81,47310,126,COLUMBUS (GA)                                                        ,Columbus GA
AL ,Russell                     ,1,113,19590,126,COLUMBUS (GA)                                                        ,Columbus GA
AL ,Lamar                       ,1,75,6360,131,COLUMBUS (MS) - TUPELO (MS) - WEST POINT (MS)                        ,Columbus-Tupelo-West Point MS
AL ,Coffee                      ,1,31,17300,171,DOTHAN (AL)                                                          ,Dothan AL
AL ,Dale                        ,1,45,18550,171,DOTHAN (AL)                                                          ,Dothan AL
AL ,Geneva                      ,1,61,10550,171,DOTHAN (AL)                                                          ,Dothan AL
AL ,Henry                       ,1,67,6510,171,DOTHAN (AL)                                                          ,Dothan AL
AL ,Houston                     ,1,69,36350,171,DOTHAN (AL)                                                          ,Dothan AL
AL ,Colbert                     ,1,33,22230,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Dekalb                      ,1,49,25820,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Franklin                    ,1,59,12240,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Jackson                     ,1,71,22130,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Lauderdale                  ,1,77,36580,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Lawrence                    ,1,79,13640,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Limestone                   ,1,83,25370,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Madison                     ,1,89,111960,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Marshall                    ,1,95,32800,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Morgan                      ,1,103,43930,83,HUNTSVILLE (AL) - DECATUR (AL) - FLORENCE (AL)                       ,Huntsville-Decatur (Florence) AL
AL ,Choctaw                     ,1,23,6150,185,MERIDIAN (MS)                                                        ,Meridian MS
AL ,Sumter                      ,1,119,5450,185,MERIDIAN (MS)                                                        ,Meridian MS
AL ,Baldwin                     ,1,3,58950,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,Mobile AL-Pensacola (Ft. Walton Beach) FL
AL ,Clarke                      ,1,25,10460,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,Mobile AL-Pensacola (Ft. Walton Beach) FL
AL ,Conecuh                     ,1,35,5560,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,Mobile AL-Pensacola (Ft. Walton Beach) FL
AL ,Escambia                    ,1,53,14430,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,Mobile AL-Pensacola (Ft. Walton Beach) FL
AL ,Mobile                      ,1,97,149310,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,Mobile AL-Pensacola (Ft. Walton Beach) FL
AL ,Monroe                      ,1,99,9270,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,Mobile AL-Pensacola (Ft. Walton Beach) FL
AL ,Washington                  ,1,129,6560,62,MOBILE (AL) - PENSACOLA (FL) - FT. WALTON (FL)                       ,Mobile AL-Pensacola (Ft. Walton Beach) FL
AL ,Autauga                     ,1,1,16610,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Bullock                     ,1,11,3930,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Butler                      ,1,13,8220,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Coosa                       ,1,37,4690,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Covington                   ,1,39,15510,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Crenshaw                    ,1,41,5520,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Dallas                      ,1,47,17250,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Elmore                      ,1,51,23910,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Lowndes                     ,1,85,4830,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Macon                       ,1,87,8730,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Marengo                     ,1,91,8430,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Montgomery                  ,1,101,85350,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Perry                       ,1,105,4130,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Pike                        ,1,109,11850,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Tallapoosa                  ,1,123,16730,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AL ,Wilcox                      ,1,131,4600,116,MONTGOMERY (AL) - SELMA (AL)                                         ,Montgomery (Selma) AL
AR ,Benton                      ,5,7,60860,108,FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR)            ,Ft. Smith-Fayetteville-Springdale-Rogers AR
AR ,Crawford                    ,5,33,20170,108,FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR)            ,Ft. Smith-Fayetteville-Springdale-Rogers AR
AR ,Franklin                    ,5,47,6930,108,FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR)            ,Ft. Smith-Fayetteville-Springdale-Rogers AR
AR ,Johnson                     ,5,71,8840,108,FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR)            ,Ft. Smith-Fayetteville-Springdale-Rogers AR
AR ,Logan                       ,5,83,8650,108,FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR)            ,Ft. Smith-Fayetteville-Springdale-Rogers AR
AR ,Madison                     ,5,87,5280,108,FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR)            ,Ft. Smith-Fayetteville-Springdale-Rogers AR
AR ,Scott                       ,5,127,4320,108,FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR)            ,Ft. Smith-Fayetteville-Springdale-Rogers AR
AR ,Sebastian                   ,5,131,45520,108,FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR)            ,Ft. Smith-Fayetteville-Springdale-Rogers AR
AR ,Washington                  ,5,143,62100,108,FT. SMITH (AR) - FAY (AR) - SPRINGDALE (AR) - ROGERS (AR)            ,Ft. Smith-Fayetteville-Springdale-Rogers AR
AR ,Chicot                      ,5,17,4920,182,GREENWOOD (MS) - GREENVILLE (MS)                                     ,Greenwood-Greenville MS
AR ,Clay                        ,5,21,7150,181,JONESBORO (AR)                                                       ,Jonesboro AR
AR ,Craighead                   ,5,31,32820,181,JONESBORO (AR)                                                       ,Jonesboro AR
AR ,Greene                      ,5,55,15020,181,JONESBORO (AR)                                                       ,Jonesboro AR
AR ,Izard                       ,5,65,5360,181,JONESBORO (AR)                                                       ,Jonesboro AR
AR ,Lawrence                    ,5,75,6850,181,JONESBORO (AR)                                                       ,Jonesboro AR
AR ,Randolph                    ,5,121,7240,181,JONESBORO (AR)                                                       ,Jonesboro AR
AR ,Sharp                       ,5,135,7140,181,JONESBORO (AR)                                                       ,Jonesboro AR
AR ,Arkansas                    ,5,1,8370,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Bradley                     ,5,11,4780,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Calhoun                     ,5,13,2250,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Clark                       ,5,19,8850,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Cleburne                    ,5,23,10390,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Cleveland                   ,5,25,3340,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Conway                      ,5,29,8010,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Dallas                      ,5,39,3470,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Desha                       ,5,41,5680,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Drew                        ,5,43,7430,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Faulkner                    ,5,45,33800,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Garland                     ,5,51,38080,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Grant                       ,5,53,6260,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Hot Spring                  ,5,59,12280,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Independence                ,5,63,13530,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Jackson                     ,5,67,6770,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Jefferson                   ,5,69,29810,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Lincoln                     ,5,79,4310,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Lonoke                      ,5,85,20110,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Monroe                      ,5,95,3840,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Montgomery                  ,5,97,3790,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Nevada                      ,5,99,3840,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Ouachita                    ,5,103,11290,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Perry                       ,5,105,4130,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Pike                        ,5,109,4420,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Polk                        ,5,113,7920,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Pope                        ,5,115,20670,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Prairie                     ,5,117,3930,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Pulaski                     ,5,119,146820,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Saline                      ,5,125,33320,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Searcy                      ,5,129,3430,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Stone                       ,5,137,4700,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Van Buren                   ,5,141,7020,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,White                       ,5,145,25780,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Woodruff                    ,5,147,3410,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Yell                        ,5,149,7980,56,LITTLE ROCK (AR) - PINE BLUFF (AR)                                   ,Little Rock-Pine Bluff AR
AR ,Crittenden                  ,5,35,18330,43,MEMPHIS (TN)                                                         ,Memphis TN
AR ,Cross                       ,5,37,7350,43,MEMPHIS (TN)                                                         ,Memphis TN
AR ,Lee                         ,5,77,3970,43,MEMPHIS (TN)                                                         ,Memphis TN
AR ,Mississippi                 ,5,93,18740,43,MEMPHIS (TN)                                                         ,Memphis TN
AR ,Phillips                    ,5,107,9200,43,MEMPHIS (TN)                                                         ,Memphis TN
AR ,Poinsett                    ,5,111,9920,43,MEMPHIS (TN)                                                         ,Memphis TN
AR ,St. Francis                 ,5,123,9770,43,MEMPHIS (TN)                                                         ,Memphis TN
AR ,Ashley                      ,5,3,9260,133,MONROE (LA) - EL DORADO (AR)                                         ,Monroe LA-El Dorado AR
AR ,Union                       ,5,139,17710,133,MONROE (LA) - EL DORADO (AR)                                         ,Monroe LA-El Dorado AR
AR ,Columbia                    ,5,27,9680,81,SHREVEPORT (LA)                                                      ,Shreveport LA
AR ,Hempstead                   ,5,57,8840,81,SHREVEPORT (LA)                                                      ,Shreveport LA
AR ,Howard                      ,5,61,5450,81,SHREVEPORT (LA)                                                      ,Shreveport LA
AR ,Lafayette                   ,5,73,3310,81,SHREVEPORT (LA)                                                      ,Shreveport LA
AR ,Little River                ,5,81,5380,81,SHREVEPORT (LA)                                                      ,Shreveport LA
AR ,Miller                      ,5,91,15550,81,SHREVEPORT (LA)                                                      ,Shreveport LA
AR ,Sevier                      ,5,133,5680,81,SHREVEPORT (LA)                                                      ,Shreveport LA
AR ,Baxter                      ,5,5,17170,73,SPRINGFIELD (MO)                                                     ,Springfield-Holyoke MA
AR ,Boone                       ,5,9,13820,73,SPRINGFIELD (MO)                                                     ,Springfield-Holyoke MA
AR ,Carroll                     ,5,15,10260,73,SPRINGFIELD (MO)                                                     ,Springfield-Holyoke MA
AR ,Fulton                      ,5,49,4770,73,SPRINGFIELD (MO)                                                     ,Springfield-Holyoke MA
AR ,Marion                      ,5,89,7130,73,SPRINGFIELD (MO)                                                     ,Springfield-Holyoke MA
AR ,Newton                      ,5,101,3440,73,SPRINGFIELD (MO)                                                     ,Springfield-Holyoke MA
AZ ,Apache                      ,4,1,17490,49,ALBUQUERQUE (NM) - SANTA FE (NM)                                     ,Albuquerque-Santa Fe NM
AZ ,Coconino                    ,4,5,39790,16,PHOENIX (AZ)                                                         ,Phoenix AZ
AZ ,Gila                        ,4,7,20410,16,PHOENIX (AZ)                                                         ,Phoenix AZ
AZ ,Graham                      ,4,9,10270,16,PHOENIX (AZ)                                                         ,Phoenix AZ
AZ ,Greenlee                    ,4,11,2900,16,PHOENIX (AZ)                                                         ,Phoenix AZ
AZ ,La Paz                      ,4,12,8990,16,PHOENIX (AZ)                                                         ,Phoenix AZ
AZ ,Maricopa                    ,4,13,1201440,16,PHOENIX (AZ)                                                         ,Phoenix AZ
AZ ,Mohave                      ,4,15,66770,16,PHOENIX (AZ)                                                         ,Phoenix AZ
AZ ,Navajo                      ,4,17,28850,16,PHOENIX (AZ)                                                         ,Phoenix AZ
AZ ,Pinal                       ,4,21,67090,16,PHOENIX (AZ)                                                         ,Phoenix AZ
AZ ,Yavapai                     ,4,25,73180,16,PHOENIX (AZ)                                                         ,Phoenix AZ
AZ ,Cochise                     ,4,3,44660,74,TUCSON (AZ) - SIERRA VISTA (AZ)                                      ,Tucson (Sierra Vista) AZ
AZ ,Pima                        ,4,19,342980,74,TUCSON (AZ) - SIERRA VISTA (AZ)                                      ,Tucson (Sierra Vista) AZ
AZ ,Santa Cruz                  ,4,23,12160,74,TUCSON (AZ) - SIERRA VISTA (AZ)                                      ,Tucson (Sierra Vista) AZ
AZ ,Yuma                        ,4,27,56840,172,YUMA (AZ) - EL CENTRO (CA)                                           ,Yuma AZ-El Centro CA
CA ,Kern                        ,6,29,212160,130,BAKERSFIELD (CA)                                                     ,Bakersfield CA
CA ,Butte                       ,6,7,80530,132,CHICO (CA) - REDDING (CA)                                            ,Chico-Redding CA
CA ,Glenn                       ,6,21,9090,132,CHICO (CA) - REDDING (CA)                                            ,Chico-Redding CA
CA ,Modoc                       ,6,49,3760,132,CHICO (CA) - REDDING (CA)                                            ,Chico-Redding CA
CA ,Shasta                      ,6,89,64080,132,CHICO (CA) - REDDING (CA)                                            ,Chico-Redding CA
CA ,Tehama                      ,6,103,21420,132,CHICO (CA) - REDDING (CA)                                            ,Chico-Redding CA
CA ,Trinity                     ,6,105,5400,132,CHICO (CA) - REDDING (CA)                                            ,Chico-Redding CA
CA ,Del Norte                   ,6,15,8960,190,EUREKA (CA)                                                          ,Eureka CA
CA ,Humboldt                    ,6,23,50170,190,EUREKA (CA)                                                          ,Eureka CA
CA ,Fresno                      ,6,19,260500,57,FRESNO (CA) - VISALIA (CA)                                           ,Fresno-Visalia CA
CA ,Kings                       ,6,31,36550,57,FRESNO (CA) - VISALIA (CA)                                           ,Fresno-Visalia CA
CA ,Madera                      ,6,39,37460,57,FRESNO (CA) - VISALIA (CA)                                           ,Fresno-Visalia CA
CA ,Mariposa                    ,6,43,6400,57,FRESNO (CA) - VISALIA (CA)                                           ,Fresno-Visalia CA
CA ,Merced                      ,6,47,65920,57,FRESNO (CA) - VISALIA (CA)                                           ,Fresno-Visalia CA
CA ,Tulare                      ,6,107,112500,57,FRESNO (CA) - VISALIA (CA)                                           ,Fresno-Visalia CA
CA ,Inyo                        ,6,27,7180,2,LOS ANGELES (CA)                                                     ,Los Angeles CA
CA ,Los Angeles                 ,6,37,3156430,2,LOS ANGELES (CA)                                                     ,Los Angeles CA
CA ,Orange                      ,6,59,952590,2,LOS ANGELES (CA)                                                     ,Los Angeles CA
CA ,Riverside                   ,6,65,515100,2,LOS ANGELES (CA)                                                     ,Los Angeles CA
CA ,San Bernardino              ,6,71,533030,2,LOS ANGELES (CA)                                                     ,Los Angeles CA
CA ,Ventura                     ,6,111,246960,2,LOS ANGELES (CA)                                                     ,Los Angeles CA
CA ,Siskiyou                    ,6,93,17620,141,MEDFORD (OR) - KLAMATH FALLS (OR)                                    ,Medford-Klamath Falls OR
CA ,Monterey                    ,6,53,123450,120,MONTEREY (CA) - SALINAS (CA)                                         ,Monterey-Salinas CA
CA ,San Benito                  ,6,69,16230,120,MONTEREY (CA) - SALINAS (CA)                                         ,Monterey-Salinas CA
CA ,Santa Cruz                  ,6,87,88610,120,MONTEREY (CA) - SALINAS (CA)                                         ,Monterey-Salinas CA
CA ,Alpine                      ,6,3,430,114,RENO (NV)                                                            ,Reno NV
CA ,Lassen                      ,6,35,9710,114,RENO (NV)                                                            ,Reno NV
CA ,Mono                        ,6,51,4980,114,RENO (NV)                                                            ,Reno NV
CA ,Amador                      ,6,5,13050,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Calaveras                   ,6,9,16800,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Colusa                      ,6,11,6050,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,El Dorado                   ,6,17,58940,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Nevada                      ,6,57,36350,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Placer                      ,6,61,98210,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Plumas                      ,6,63,8280,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Sacramento                  ,6,67,458850,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,San Joaquin                 ,6,77,184800,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Sierra                      ,6,91,1380,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Solano                      ,6,95,133640,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Stanislaus                  ,6,99,147520,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Sutter                      ,6,101,27290,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Tuolumne                    ,6,109,21390,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Yolo                        ,6,113,60010,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,Yuba                        ,6,115,20180,19,SACRAMENTO (CA) - STOCKTON (CA) - MODESTO (CA)                       ,Sacramento-Stockton-Modesto CA
CA ,San Diego                   ,6,73,1004220,26,SAN DIEGO (CA)                                                       ,San Diego CA
CA ,Alameda                     ,6,1,519600,5,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    ,San Francisco-Oakland-San Jose CA
CA ,Contra Costa                ,6,13,347910,5,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    ,San Francisco-Oakland-San Jose CA
CA ,Lake                        ,6,33,23450,5,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    ,San Francisco-Oakland-San Jose CA
CA ,Marin                       ,6,41,99200,5,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    ,San Francisco-Oakland-San Jose CA
CA ,Mendocino                   ,6,45,29630,5,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    ,San Francisco-Oakland-San Jose CA
CA ,Napa                        ,6,55,45810,5,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    ,San Francisco-Oakland-San Jose CA
CA ,San Francisco               ,6,75,320800,5,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    ,San Francisco-Oakland-San Jose CA
CA ,San Mateo                   ,6,81,254170,5,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    ,San Francisco-Oakland-San Jose CA
CA ,Santa Clara                 ,6,85,570970,5,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    ,San Francisco-Oakland-San Jose CA
CA ,Sonoma                      ,6,97,172750,5,SAN FRANCISCO (CA) - OAKLAND (CA) - SAN JOSE (CA)                    ,San Francisco-Oakland-San Jose CA
CA ,San Luis Obispo             ,6,79,94320,119,SANTA BARBARA (CA) - SAN MARCOS (CA) - SAN LUIS OBISPO (CA)          ,Santa Barbara-Santa Maria-San Luis Obispo CA
