School.Year,County,Grade,Vaccine.Series,Number.of.Schools,Total.Enrollment.Count,Total.Vaccinated.Count,Percentage.Vaccinated,Religious..Flu.Only.Exemption.Count,Religious.Exemption.Count,Percentage.Religious.Exemption,Medical.Exemption.Count,Percentage.Medical.Exemption,Percentage.Compliant,Percentage.Non.Compliant
2023-2024,State,7th,Varicella,540,39395,38308,97.2,NA,707,1.8,67,0.2,99.2,0.8
2023-2024,State,7th,HepA,540,39395,38181,96.9,NA,707,1.8,67,0.2,98.9,1.1
2023-2024,State,7th,MCV,540,39395,37347,94.8,NA,707,1.8,67,0.2,96.8,3.2
2023-2024,State,7th,Tdap,540,39395,37411,95,NA,707,1.8,67,0.2,96.9,3.1
2023-2024,State,7th,All,540,39395,36800,93.4,NA,707,1.8,67,0.2,95.4,4.6
2023-2024,Tolland,Pre-K,Flu,11,519,483,93.1,NA,NA,NA,3,0.6,93.6,6.4
2023-2024,Tolland,K,Polio,22,1218,1187,97.5,NA,2,0.2,2,0.2,97.8,2.2
2023-2024,Tolland,K,DTaP,22,1218,1187,97.5,NA,2,0.2,2,0.2,97.8,2.2
2023-2024,Tolland,K,MMR,22,1218,1191,97.8,NA,2,0.2,2,0.2,98.1,1.9
2023-2024,Tolland,K,HepB,22,1218,1199,98.4,NA,2,0.2,2,0.2,98.8,1.2
2023-2024,Tolland,K,Varicella,22,1218,1190,97.7,NA,2,0.2,2,0.2,98,2
2023-2024,Tolland,K,HepA,22,1218,1198,98.4,NA,2,0.2,2,0.2,98.7,1.3
2023-2024,Tolland,K,All,22,1218,1173,96.3,NA,2,0.2,2,0.2,96.6,3.4
2023-2024,Tolland,7th,Polio,14,1369,1319,96.3,NA,48,3.5,0,0,99.9,0.1
2023-2024,Tolland,7th,DTaP,14,1369,1319,96.3,NA,48,3.5,0,0,99.9,0.1
2023-2024,Tolland,7th,MMR,14,1369,1319,96.3,NA,48,3.5,0,0,99.9,0.1
2023-2024,Tolland,7th,HepB,14,1369,1318,96.3,NA,48,3.5,0,0,99.8,0.2
2023-2024,Tolland,7th,Varicella,14,1369,1316,96.1,NA,48,3.5,0,0,99.6,0.4
2023-2024,Tolland,7th,HepA,14,1369,1316,96.1,NA,48,3.5,0,0,99.6,0.4
2023-2024,Tolland,7th,MCV,14,1369,1283,93.7,NA,48,3.5,0,0,97.2,2.8
2023-2024,Tolland,7th,Tdap,14,1369,1282,93.6,NA,48,3.5,0,0,97.2,2.8
2023-2024,Tolland,7th,All,14,1369,1276,93.2,NA,48,3.5,0,0,96.7,3.3
2023-2024,Windham,Pre-K,Flu,13,730,701,96,NA,NA,NA,6,0.8,96.8,3.2
2023-2024,Windham,K,Polio,23,1065,1033,97,NA,3,0.3,0,0,97.3,2.7
2023-2024,Windham,K,DTaP,23,1065,1025,96.2,NA,3,0.3,0,0,96.5,3.5
2023-2024,Windham,K,MMR,23,1065,1029,96.6,NA,3,0.3,0,0,96.9,3.1
2023-2024,Windham,K,HepB,23,1065,1045,98.1,NA,3,0.3,0,0,98.4,1.6
2023-2024,Windham,K,Varicella,23,1065,1031,96.8,NA,3,0.3,0,0,97.1,2.9
2023-2024,Windham,K,HepA,23,1065,1040,97.7,NA,3,0.3,0,0,97.9,2.1
2023-2024,Windham,K,All,23,1065,1012,95,NA,3,0.3,0,0,95.3,4.7
2023-2024,Windham,7th,Polio,23,1164,1126,96.7,NA,32,2.7,3,0.3,99.7,0.3
2023-2024,Windham,7th,DTaP,23,1164,1125,96.6,NA,32,2.7,3,0.3,99.7,0.3
2023-2024,Windham,7th,MMR,23,1164,1122,96.4,NA,32,2.7,3,0.3,99.4,0.6
2023-2024,Windham,7th,HepB,23,1164,1120,96.2,NA,32,2.7,3,0.3,99.2,0.8
2023-2024,Windham,7th,Varicella,23,1164,1120,96.2,NA,32,2.7,3,0.3,99.2,0.8
2023-2024,Windham,7th,HepA,23,1164,1122,96.4,NA,32,2.7,3,0.3,99.4,0.6
2023-2024,Windham,7th,MCV,23,1164,1109,95.3,NA,32,2.7,3,0.3,98.3,1.7
2023-2024,Windham,7th,Tdap,23,1164,1109,95.3,NA,32,2.7,3,0.3,98.3,1.7
2023-2024,Windham,7th,All,23,1164,1087,93.4,NA,32,2.7,3,0.3,96.4,3.6
2022-2023,Fairfield,Pre-K,Flu,82,4599,4159,90.4,NA,NA,NA,40,0.9,91.3,8.7
2022-2023,Fairfield,K,Polio,190,10832,10520,97.1,NA,40,0.4,48,0.4,97.9,2.1
2022-2023,Fairfield,K,DTaP,190,10832,10511,97,NA,40,0.4,48,0.4,97.8,2.2
2022-2023,Fairfield,K,MMR,190,10832,10490,96.8,NA,40,0.4,48,0.4,97.7,2.3
2022-2023,Fairfield,K,HepB,190,10832,10549,97.4,NA,40,0.4,48,0.4,98.2,1.8
2022-2023,Fairfield,K,Varicella,190,10832,10448,96.5,NA,40,0.4,48,0.4,97.3,2.7
2022-2023,Fairfield,K,HepA,190,10832,10448,96.5,NA,40,0.4,48,0.4,97.3,2.7
2022-2023,Fairfield,K,All,190,10832,10219,94.3,NA,40,0.4,48,0.4,95.2,4.8
2022-2023,Fairfield,7th,Polio,120,11786,11400,96.7,NA,262,2.2,38,0.3,99.3,0.7
2022-2023,Fairfield,7th,DTaP,120,11786,11326,96.1,NA,262,2.2,38,0.3,98.6,1.4
2022-2023,Fairfield,7th,MMR,120,11786,11407,96.8,NA,262,2.2,38,0.3,99.3,0.7
2022-2023,Fairfield,7th,HepB,120,11786,11390,96.6,NA,262,2.2,38,0.3,99.2,0.8
2022-2023,Fairfield,7th,Varicella,120,11786,11352,96.3,NA,262,2.2,38,0.3,98.9,1.1
2022-2023,Fairfield,7th,HepA,120,11786,11345,96.3,NA,262,2.2,38,0.3,98.8,1.2
2022-2023,Fairfield,7th,MCV,120,11786,10909,92.6,NA,262,2.2,38,0.3,95.1,4.9
2022-2023,Fairfield,7th,Tdap,120,11786,10948,92.9,NA,262,2.2,38,0.3,95.4,4.6
2022-2023,Fairfield,7th,All,120,11786,10645,90.3,NA,262,2.2,38,0.3,92.9,7.1
2022-2023,Hartford,Pre-K,Flu,81,4809,4390,91.3,NA,NA,NA,14,0.3,91.6,8.4
2022-2023,Hartford,K,Polio,168,9430,9177,97.3,NA,55,0.6,26,0.3,98.2,1.8
2022-2023,Hartford,K,DTaP,168,9430,9179,97.3,NA,55,0.6,26,0.3,98.2,1.8
2022-2023,Hartford,K,MMR,168,9430,9193,97.5,NA,55,0.6,26,0.3,98.3,1.7
2022-2023,Hartford,K,HepB,168,9430,9238,98,NA,55,0.6,26,0.3,98.8,1.2
2022-2023,Hartford,K,Varicella,168,9430,9173,97.3,NA,55,0.6,26,0.3,98.1,1.9
2022-2023,Hartford,K,HepA,168,9430,9173,97.3,NA,55,0.6,26,0.3,98.1,1.9
2022-2023,Hartford,K,All,168,9430,9004,95.5,NA,55,0.6,26,0.3,96.3,3.7
2022-2023,Hartford,7th,Polio,118,10192,9967,97.8,NA,149,1.5,18,0.2,99.4,0.6
2022-2023,Hartford,7th,DTaP,118,10192,9968,97.8,NA,149,1.5,18,0.2,99.4,0.6
2022-2023,Hartford,7th,MMR,118,10192,9968,97.8,NA,149,1.5,18,0.2,99.4,0.6
2022-2023,Hartford,7th,HepB,118,10192,9972,97.8,NA,149,1.5,18,0.2,99.5,0.5
2022-2023,Hartford,7th,Varicella,118,10192,9921,97.3,NA,149,1.5,18,0.2,99,1
2022-2023,Hartford,7th,HepA,118,10192,9900,97.1,NA,149,1.5,18,0.2,98.8,1.2
2022-2023,Hartford,7th,MCV,118,10192,9578,94,NA,149,1.5,18,0.2,95.6,4.4
2022-2023,Hartford,7th,Tdap,118,10192,9619,94.4,NA,149,1.5,18,0.2,96,4
2022-2023,Hartford,7th,All,118,10192,9433,92.6,NA,149,1.5,18,0.2,94.2,5.8
2022-2023,Litchfield,Pre-K,Flu,24,894,833,93.2,NA,NA,NA,3,0.3,93.5,6.5
2022-2023,Litchfield,K,Polio,32,1455,1424,97.9,NA,9,0.6,3,0.2,98.7,1.3
2022-2023,Litchfield,K,DTaP,32,1455,1428,98.1,NA,9,0.6,3,0.2,99,1
2022-2023,Litchfield,K,MMR,32,1455,1429,98.2,NA,9,0.6,3,0.2,99,1
2022-2023,Litchfield,K,HepB,32,1455,1422,97.7,NA,9,0.6,3,0.2,98.6,1.4
2022-2023,Litchfield,K,Varicella,32,1455,1424,97.9,NA,9,0.6,3,0.2,98.7,1.3
2022-2023,Litchfield,K,HepA,32,1455,1419,97.5,NA,9,0.6,3,0.2,98.4,1.6
2022-2023,Litchfield,K,All,32,1455,1385,95.2,NA,9,0.6,3,0.2,96,4
2022-2023,Litchfield,7th,Polio,21,1513,1473,97.4,NA,38,2.5,2,0.1,100,0
2022-2023,Litchfield,7th,DTaP,21,1513,1473,97.4,NA,38,2.5,2,0.1,100,0
2022-2023,Litchfield,7th,MMR,21,1513,1473,97.4,NA,38,2.5,2,0.1,100,0
2022-2023,Litchfield,7th,HepB,21,1513,1473,97.4,NA,38,2.5,2,0.1,100,0
2022-2023,Litchfield,7th,Varicella,21,1513,1472,97.3,NA,38,2.5,2,0.1,99.9,0.1
2022-2023,Litchfield,7th,HepA,21,1513,1471,97.2,NA,38,2.5,2,0.1,99.9,0.1
2022-2023,Litchfield,7th,MCV,21,1513,1447,95.6,NA,38,2.5,2,0.1,98.3,1.7
2022-2023,Litchfield,7th,Tdap,21,1513,1450,95.8,NA,38,2.5,2,0.1,98.5,1.5
2022-2023,Litchfield,7th,All,21,1513,1445,95.5,NA,38,2.5,2,0.1,98.1,1.9
2022-2023,Middlesex,Pre-K,Flu,12,589,562,95.4,NA,NA,NA,4,0.7,96.1,3.9
2022-2023,Middlesex,K,Polio,26,1371,1330,97,NA,14,1,1,0.1,98.1,1.9
2022-2023,Middlesex,K,DTaP,26,1371,1332,97.2,NA,14,1,1,0.1,98.2,1.8
2022-2023,Middlesex,K,MMR,26,1371,1332,97.2,NA,14,1,1,0.1,98.2,1.8
2022-2023,Middlesex,K,HepB,26,1371,1343,98,NA,14,1,1,0.1,99.1,0.9
2022-2023,Middlesex,K,Varicella,26,1371,1334,97.3,NA,14,1,1,0.1,98.4,1.6
2022-2023,Middlesex,K,HepA,26,1371,1333,97.2,NA,14,1,1,0.1,98.3,1.7
2022-2023,Middlesex,K,All,26,1371,1313,95.8,NA,14,1,1,0.1,96.9,3.1
2022-2023,Middlesex,7th,Polio,15,1401,1356,96.8,NA,26,1.9,5,0.4,99,1
2022-2023,Middlesex,7th,DTaP,15,1401,1358,96.9,NA,26,1.9,5,0.4,99.1,0.9
2022-2023,Middlesex,7th,MMR,15,1401,1353,96.6,NA,26,1.9,5,0.4,98.8,1.2
2022-2023,Middlesex,7th,HepB,15,1401,1360,97.1,NA,26,1.9,5,0.4,99.3,0.7
2022-2023,Middlesex,7th,Varicella,15,1401,1336,95.4,NA,26,1.9,5,0.4,97.6,2.4
2022-2023,Middlesex,7th,HepA,15,1401,1337,95.4,NA,26,1.9,5,0.4,97.6,2.4
2022-2023,Middlesex,7th,MCV,15,1401,1330,94.9,NA,26,1.9,5,0.4,97.1,2.9
2022-2023,Middlesex,7th,Tdap,15,1401,1335,95.3,NA,26,1.9,5,0.4,97.5,2.5
2022-2023,Middlesex,7th,All,15,1401,1287,91.9,NA,26,1.9,5,0.4,94.1,5.9
2022-2023,New Haven,Pre-K,Flu,57,2932,2695,91.9,NA,NA,NA,19,0.6,92.6,7.4
2022-2023,New Haven,K,Polio,143,7884,7699,97.7,NA,34,0.4,14,0.2,98.3,1.7
2022-2023,New Haven,K,DTaP,143,7884,7697,97.6,NA,34,0.4,14,0.2,98.2,1.8
2022-2023,New Haven,K,MMR,143,7884,7722,97.9,NA,34,0.4,14,0.2,98.6,1.4
2022-2023,New Haven,K,HepB,143,7884,7745,98.2,NA,34,0.4,14,0.2,98.8,1.2
2022-2023,New Haven,K,Varicella,143,7884,7697,97.6,NA,34,0.4,14,0.2,98.2,1.8
2022-2023,New Haven,K,HepA,143,7884,7703,97.7,NA,34,0.4,14,0.2,98.3,1.7
2022-2023,New Haven,K,All,143,7884,7584,96.2,NA,34,0.4,14,0.2,96.8,3.2
2022-2023,New Haven,7th,Polio,93,7866,7697,97.9,NA,101,1.3,32,0.4,99.5,0.5
2022-2023,New Haven,7th,DTaP,93,7866,7681,97.6,NA,101,1.3,32,0.4,99.3,0.7
2022-2023,New Haven,7th,MMR,93,7866,7695,97.8,NA,101,1.3,32,0.4,99.5,0.5
2022-2023,New Haven,7th,HepB,93,7866,7686,97.7,NA,101,1.3,32,0.4,99.4,0.6
2022-2023,New Haven,7th,Varicella,93,7866,7702,97.9,NA,101,1.3,32,0.4,99.6,0.4
2022-2023,New Haven,7th,HepA,93,7866,7692,97.8,NA,101,1.3,32,0.4,99.5,0.5
2022-2023,New Haven,7th,MCV,93,7866,7543,95.9,NA,101,1.3,32,0.4,97.6,2.4
2022-2023,New Haven,7th,Tdap,93,7866,7552,96,NA,101,1.3,32,0.4,97.7,2.3
2022-2023,New Haven,7th,All,93,7866,7487,95.2,NA,101,1.3,32,0.4,96.9,3.1
2022-2023,New London,Pre-K,Flu,30,1674,1633,97.6,NA,NA,NA,14,0.8,98.4,1.6
2022-2023,New London,K,Polio,54,2493,2424,97.2,NA,15,0.6,11,0.4,98.3,1.7
2022-2023,New London,K,DTaP,54,2493,2417,97,NA,15,0.6,11,0.4,98,2
2022-2023,New London,K,MMR,54,2493,2424,97.2,NA,15,0.6,11,0.4,98.3,1.7
2022-2023,New London,K,HepB,54,2493,2434,97.6,NA,15,0.6,11,0.4,98.7,1.3
2022-2023,New London,K,Varicella,54,2493,2416,96.9,NA,15,0.6,11,0.4,98,2
2022-2023,New London,K,HepA,54,2493,2424,97.2,NA,15,0.6,11,0.4,98.3,1.7
2022-2023,New London,K,All,54,2493,2374,95.2,NA,15,0.6,11,0.4,96.3,3.7
2022-2023,New London,7th,Polio,37,2452,2373,96.8,NA,56,2.3,7,0.3,99.3,0.7
2022-2023,New London,7th,DTaP,37,2452,2378,97,NA,56,2.3,7,0.3,99.6,0.4
2022-2023,New London,7th,MMR,37,2452,2378,97,NA,56,2.3,7,0.3,99.6,0.4
2022-2023,New London,7th,HepB,37,2452,2370,96.7,NA,56,2.3,7,0.3,99.2,0.8
2022-2023,New London,7th,Varicella,37,2452,2374,96.8,NA,56,2.3,7,0.3,99.4,0.6
2022-2023,New London,7th,HepA,37,2452,2366,96.5,NA,56,2.3,7,0.3,99.1,0.9
2022-2023,New London,7th,MCV,37,2452,2285,93.2,NA,56,2.3,7,0.3,95.8,4.2
2022-2023,New London,7th,Tdap,37,2452,2291,93.4,NA,56,2.3,7,0.3,96,4
2022-2023,New London,7th,All,37,2452,2241,91.4,NA,56,2.3,7,0.3,94,6
2022-2023,State,Pre-K,Flu,312,16980,15659,92.2,NA,NA,NA,97,0.6,92.8,7.2
2022-2023,State,K,Polio,650,35580,34625,97.3,NA,185,0.5,112,0.3,98.2,1.8
2022-2023,State,K,DTaP,650,35580,34611,97.3,NA,185,0.5,112,0.3,98.1,1.9
2022-2023,State,K,MMR,650,35580,34633,97.3,NA,185,0.5,112,0.3,98.2,1.8
2022-2023,State,K,HepB,650,35580,34792,97.8,NA,185,0.5,112,0.3,98.6,1.4
2022-2023,State,K,Varicella,650,35580,34528,97,NA,185,0.5,112,0.3,97.9,2.1
2022-2023,State,K,HepA,650,35580,34548,97.1,NA,185,0.5,112,0.3,97.9,2.1
2022-2023,State,K,All,650,35580,33873,95.2,NA,185,0.5,112,0.3,96,4
2022-2023,State,7th,Polio,435,37792,36764,97.3,NA,706,1.9,107,0.3,99.4,0.6
2022-2023,State,7th,DTaP,435,37792,36678,97.1,NA,706,1.9,107,0.3,99.2,0.8
2022-2023,State,7th,MMR,435,37792,36770,97.3,NA,706,1.9,107,0.3,99.4,0.6
2022-2023,State,7th,HepB,435,37792,36748,97.2,NA,706,1.9,107,0.3,99.4,0.6
2022-2023,State,7th,Varicella,435,37792,36653,97,NA,706,1.9,107,0.3,99.1,0.9
2022-2023,State,7th,HepA,435,37792,36605,96.9,NA,706,1.9,107,0.3,99,1
2022-2023,State,7th,MCV,435,37792,35516,94,NA,706,1.9,107,0.3,96.1,3.9
2022-2023,State,7th,Tdap,435,37792,35627,94.3,NA,706,1.9,107,0.3,96.4,3.6
2022-2023,State,7th,All,435,37792,34911,92.4,NA,706,1.9,107,0.3,94.5,5.5
2022-2023,Tolland,Pre-K,Flu,13,669,611,91.3,NA,NA,NA,2,0.3,91.6,8.4
2022-2023,Tolland,K,Polio,18,1151,1120,97.3,NA,7,0.6,3,0.3,98.2,1.8
2022-2023,Tolland,K,DTaP,18,1151,1117,97,NA,7,0.6,3,0.3,97.9,2.1
2022-2023,Tolland,K,MMR,18,1151,1113,96.7,NA,7,0.6,3,0.3,97.6,2.4
2022-2023,Tolland,K,HepB,18,1151,1127,97.9,NA,7,0.6,3,0.3,98.8,1.2
2022-2023,Tolland,K,Varicella,18,1151,1111,96.5,NA,7,0.6,3,0.3,97.4,2.6
2022-2023,Tolland,K,HepA,18,1151,1120,97.3,NA,7,0.6,3,0.3,98.2,1.8
2022-2023,Tolland,K,All,18,1151,1083,94.1,NA,7,0.6,3,0.3,95,5
2022-2023,Tolland,7th,Polio,11,1428,1379,96.6,NA,45,3.2,3,0.2,99.9,0.1
2022-2023,Tolland,7th,DTaP,11,1428,1379,96.6,NA,45,3.2,3,0.2,99.9,0.1
2022-2023,Tolland,7th,MMR,11,1428,1378,96.5,NA,45,3.2,3,0.2,99.9,0.1
2022-2023,Tolland,7th,HepB,11,1428,1378,96.5,NA,45,3.2,3,0.2,99.9,0.1
2022-2023,Tolland,7th,Varicella,11,1428,1377,96.4,NA,45,3.2,3,0.2,99.8,0.2
2022-2023,Tolland,7th,HepA,11,1428,1376,96.4,NA,45,3.2,3,0.2,99.7,0.3
2022-2023,Tolland,7th,MCV,11,1428,1367,95.7,NA,45,3.2,3,0.2,99.1,0.9
2022-2023,Tolland,7th,Tdap,11,1428,1368,95.8,NA,45,3.2,3,0.2,99.2,0.8
2022-2023,Tolland,7th,All,11,1428,1363,95.4,NA,45,3.2,3,0.2,98.8,1.2
2022-2023,Windham,Pre-K,Flu,13,814,776,95.3,NA,NA,NA,1,0.1,95.5,4.5
2022-2023,Windham,K,Polio,19,964,931,96.6,NA,11,1.1,6,0.6,98.3,1.7
2022-2023,Windham,K,DTaP,19,964,930,96.5,NA,11,1.1,6,0.6,98.2,1.8
2022-2023,Windham,K,MMR,19,964,930,96.5,NA,11,1.1,6,0.6,98.2,1.8
2022-2023,Windham,K,HepB,19,964,934,96.9,NA,11,1.1,6,0.6,98.7,1.3
2022-2023,Windham,K,Varicella,19,964,925,96,NA,11,1.1,6,0.6,97.7,2.3
2022-2023,Windham,K,HepA,19,964,928,96.3,NA,11,1.1,6,0.6,98,2
2022-2023,Windham,K,All,19,964,911,94.5,NA,11,1.1,6,0.6,96.3,3.7
2022-2023,Windham,7th,Polio,20,1154,1119,97,NA,29,2.5,2,0.2,99.7,0.3
2022-2023,Windham,7th,DTaP,20,1154,1115,96.6,NA,29,2.5,2,0.2,99.3,0.7
