School.Year,County,Grade,Vaccine.Series,Number.of.Schools,Total.Enrollment.Count,Total.Vaccinated.Count,Percentage.Vaccinated,Religious..Flu.Only.Exemption.Count,Religious.Exemption.Count,Percentage.Religious.Exemption,Medical.Exemption.Count,Percentage.Medical.Exemption,Percentage.Compliant,Percentage.Non.Compliant
2021-2022,Hartford,K,DTaP,163,9261,8913,96.2,NA,168,1.8,12,0.1,98.2,1.8
2021-2022,Hartford,K,MMR,163,9261,8835,95.4,NA,168,1.8,12,0.1,97.3,2.7
2021-2022,Hartford,K,HepB,163,9261,8950,96.6,NA,168,1.8,12,0.1,98.6,1.4
2021-2022,Hartford,K,Varicella,163,9261,8842,95.5,NA,168,1.8,12,0.1,97.4,2.6
2021-2022,Hartford,K,HepA,163,9261,8890,96,NA,168,1.8,12,0.1,97.9,2.1
2021-2022,Hartford,K,All,163,9261,8686,93.8,NA,168,1.8,12,0.1,95.7,4.3
2021-2022,Hartford,7th,Polio,104,9440,9170,97.1,NA,178,1.9,16,0.2,99.2,0.8
2021-2022,Hartford,7th,DTaP,104,9440,9152,96.9,NA,178,1.9,16,0.2,99,1
2021-2022,Hartford,7th,MMR,104,9440,9178,97.2,NA,178,1.9,16,0.2,99.3,0.7
2021-2022,Hartford,7th,HepB,104,9440,9173,97.2,NA,178,1.9,16,0.2,99.2,0.8
2021-2022,Hartford,7th,Varicella,104,9440,9172,97.2,NA,178,1.9,16,0.2,99.2,0.8
2021-2022,Hartford,7th,HepA,104,9440,9143,96.9,NA,178,1.9,16,0.2,98.9,1.1
2021-2022,Hartford,7th,MCV,104,9440,8729,92.5,NA,178,1.9,16,0.2,94.5,5.5
2021-2022,Hartford,7th,Tdap,104,9440,8744,92.6,NA,178,1.9,16,0.2,94.7,5.3
2021-2022,Hartford,7th,All,104,9440,8647,91.6,NA,178,1.9,16,0.2,93.7,6.3
2021-2022,Litchfield,Pre-K,Flu,23,742,669,90.2,9,12,2.8,1,0.1,93.1,6.9
2021-2022,Litchfield,K,Polio,35,1603,1534,95.7,NA,47,2.9,4,0.2,98.9,1.1
2021-2022,Litchfield,K,DTaP,35,1603,1532,95.6,NA,47,2.9,4,0.2,98.8,1.2
2021-2022,Litchfield,K,MMR,35,1603,1535,95.8,NA,47,2.9,4,0.2,98.9,1.1
2021-2022,Litchfield,K,HepB,35,1603,1541,96.1,NA,47,2.9,4,0.2,99.3,0.7
2021-2022,Litchfield,K,Varicella,35,1603,1532,95.6,NA,47,2.9,4,0.2,98.8,1.2
2021-2022,Litchfield,K,HepA,35,1603,1529,95.4,NA,47,2.9,4,0.2,98.6,1.4
2021-2022,Litchfield,K,All,35,1603,1508,94.1,NA,47,2.9,4,0.2,97.3,2.7
2021-2022,Litchfield,7th,Polio,25,1705,1653,97,NA,41,2.4,10,0.6,99.9,0.1
2021-2022,Litchfield,7th,DTaP,25,1705,1558,91.4,NA,41,2.4,10,0.6,94.4,5.6
2021-2022,Litchfield,7th,MMR,25,1705,1649,96.7,NA,41,2.4,10,0.6,99.7,0.3
2021-2022,Litchfield,7th,HepB,25,1705,1650,96.8,NA,41,2.4,10,0.6,99.8,0.2
2021-2022,Litchfield,7th,Varicella,25,1705,1646,96.5,NA,41,2.4,10,0.6,99.5,0.5
2021-2022,Litchfield,7th,HepA,25,1705,1637,96,NA,41,2.4,10,0.6,99,1
2021-2022,Litchfield,7th,MCV,25,1705,1535,90,NA,41,2.4,10,0.6,93,7
2021-2022,Litchfield,7th,Tdap,25,1705,1542,90.4,NA,41,2.4,10,0.6,93.4,6.6
2021-2022,Litchfield,7th,All,25,1705,1516,88.9,NA,41,2.4,10,0.6,91.9,8.1
2021-2022,Middlesex,Pre-K,Flu,15,576,528,91.7,3,8,1.9,2,0.3,93.9,6.1
2021-2022,Middlesex,K,Polio,24,1130,1089,96.4,NA,32,2.8,5,0.4,99.6,0.4
2021-2022,Middlesex,K,DTaP,24,1130,1088,96.3,NA,32,2.8,5,0.4,99.6,0.4
2021-2022,Middlesex,K,MMR,24,1130,1089,96.4,NA,32,2.8,5,0.4,99.6,0.4
2021-2022,Middlesex,K,HepB,24,1130,1087,96.2,NA,32,2.8,5,0.4,99.5,0.5
2021-2022,Middlesex,K,Varicella,24,1130,1089,96.4,NA,32,2.8,5,0.4,99.6,0.4
2021-2022,Middlesex,K,HepA,24,1130,1086,96.1,NA,32,2.8,5,0.4,99.4,0.6
2021-2022,Middlesex,K,All,24,1130,1079,95.5,NA,32,2.8,5,0.4,98.8,1.2
2021-2022,Middlesex,7th,Polio,16,1479,1436,97.1,NA,36,2.4,4,0.3,99.8,0.2
2021-2022,Middlesex,7th,DTaP,16,1479,1436,97.1,NA,36,2.4,4,0.3,99.8,0.2
2021-2022,Middlesex,7th,MMR,16,1479,1437,97.2,NA,36,2.4,4,0.3,99.9,0.1
2021-2022,Middlesex,7th,HepB,16,1479,1431,96.8,NA,36,2.4,4,0.3,99.5,0.5
2021-2022,Middlesex,7th,Varicella,16,1479,1438,97.2,NA,36,2.4,4,0.3,99.9,0.1
2021-2022,Middlesex,7th,HepA,16,1479,1427,96.5,NA,36,2.4,4,0.3,99.2,0.8
2021-2022,Middlesex,7th,MCV,16,1479,1389,93.9,NA,36,2.4,4,0.3,96.6,3.4
2021-2022,Middlesex,7th,Tdap,16,1479,1391,94.1,NA,36,2.4,4,0.3,96.8,3.2
2021-2022,Middlesex,7th,All,16,1479,1366,92.4,NA,36,2.4,4,0.3,95.1,4.9
2021-2022,New Haven,Pre-K,Flu,84,4101,3593,87.6,33,44,1.9,14,0.3,89.8,10.2
2021-2022,New Haven,K,Polio,143,8066,7814,96.9,NA,135,1.7,19,0.2,98.8,1.2
2021-2022,New Haven,K,DTaP,143,8066,7807,96.8,NA,135,1.7,19,0.2,98.7,1.3
2021-2022,New Haven,K,MMR,143,8066,7801,96.7,NA,135,1.7,19,0.2,98.6,1.4
2021-2022,New Haven,K,HepB,143,8066,7851,97.3,NA,135,1.7,19,0.2,99.2,0.8
2021-2022,New Haven,K,Varicella,143,8066,7790,96.6,NA,135,1.7,19,0.2,98.5,1.5
2021-2022,New Haven,K,HepA,143,8066,7774,96.4,NA,135,1.7,19,0.2,98.3,1.7
2021-2022,New Haven,K,All,143,8066,7651,94.9,NA,135,1.7,19,0.2,96.8,3.2
2021-2022,New Haven,7th,Polio,94,8736,8525,97.6,NA,158,1.8,19,0.2,99.6,0.4
2021-2022,New Haven,7th,DTaP,94,8736,8525,97.6,NA,158,1.8,19,0.2,99.6,0.4
2021-2022,New Haven,7th,MMR,94,8736,8527,97.6,NA,158,1.8,19,0.2,99.6,0.4
2021-2022,New Haven,7th,HepB,94,8736,8523,97.6,NA,158,1.8,19,0.2,99.6,0.4
2021-2022,New Haven,7th,Varicella,94,8736,8520,97.5,NA,158,1.8,19,0.2,99.6,0.4
2021-2022,New Haven,7th,HepA,94,8736,8494,97.2,NA,158,1.8,19,0.2,99.3,0.7
2021-2022,New Haven,7th,MCV,94,8736,8265,94.6,NA,158,1.8,19,0.2,96.6,3.4
2021-2022,New Haven,7th,Tdap,94,8736,8311,95.1,NA,158,1.8,19,0.2,97.2,2.8
2021-2022,New Haven,7th,All,94,8736,8212,94,NA,158,1.8,19,0.2,96,4
2021-2022,New London,Pre-K,Flu,39,2075,1942,93.6,21,23,2.1,9,0.4,96.1,3.9
2021-2022,New London,K,Polio,52,2610,2489,95.4,NA,59,2.3,10,0.4,98,2
2021-2022,New London,K,DTaP,52,2610,2491,95.4,NA,59,2.3,10,0.4,98.1,1.9
2021-2022,New London,K,MMR,52,2610,2487,95.3,NA,59,2.3,10,0.4,97.9,2.1
2021-2022,New London,K,HepB,52,2610,2509,96.1,NA,59,2.3,10,0.4,98.8,1.2
2021-2022,New London,K,Varicella,52,2610,2481,95.1,NA,59,2.3,10,0.4,97.7,2.3
2021-2022,New London,K,HepA,52,2610,2493,95.5,NA,59,2.3,10,0.4,98.2,1.8
2021-2022,New London,K,All,52,2610,2455,94.1,NA,59,2.3,10,0.4,96.7,3.3
2021-2022,New London,7th,Polio,38,2663,2594,97.4,NA,42,1.6,9,0.3,99.3,0.7
2021-2022,New London,7th,DTaP,38,2663,2594,97.4,NA,42,1.6,9,0.3,99.3,0.7
2021-2022,New London,7th,MMR,38,2663,2598,97.6,NA,42,1.6,9,0.3,99.5,0.5
2021-2022,New London,7th,HepB,38,2663,2595,97.4,NA,42,1.6,9,0.3,99.4,0.6
2021-2022,New London,7th,Varicella,38,2663,2591,97.3,NA,42,1.6,9,0.3,99.2,0.8
2021-2022,New London,7th,HepA,38,2663,2595,97.4,NA,42,1.6,9,0.3,99.4,0.6
2021-2022,New London,7th,MCV,38,2663,2373,89.1,NA,42,1.6,9,0.3,91,9
2021-2022,New London,7th,Tdap,38,2663,2384,89.5,NA,42,1.6,9,0.3,91.4,8.6
2021-2022,New London,7th,All,38,2663,2348,88.2,NA,42,1.6,9,0.3,90.1,9.9
2021-2022,State,Pre-K,Flu,409,20465,18306,89.5,196,267,2.3,73,0.4,92.1,7.9
2021-2022,State,K,Polio,642,35451,34045,96,NA,727,2.1,102,0.3,98.4,1.6
2021-2022,State,K,DTaP,642,35451,34038,96,NA,727,2.1,102,0.3,98.4,1.6
2021-2022,State,K,MMR,642,35451,33913,95.7,NA,727,2.1,102,0.3,98,2
2021-2022,State,K,HepB,642,35451,34199,96.5,NA,727,2.1,102,0.3,98.8,1.2
2021-2022,State,K,Varicella,642,35451,33858,95.5,NA,727,2.1,102,0.3,97.8,2.2
2021-2022,State,K,HepA,642,35451,33973,95.8,NA,727,2.1,102,0.3,98.2,1.8
2021-2022,State,K,All,642,35451,33344,94.1,NA,727,2.1,102,0.3,96.4,3.6
2021-2022,State,7th,Polio,429,38276,37229,97.3,NA,727,1.9,112,0.3,99.5,0.5
2021-2022,State,7th,DTaP,429,38276,37063,96.8,NA,727,1.9,112,0.3,99,1
2021-2022,State,7th,MMR,429,38276,37275,97.4,NA,727,1.9,112,0.3,99.6,0.4
2021-2022,State,7th,HepB,429,38276,37249,97.3,NA,727,1.9,112,0.3,99.5,0.5
2021-2022,State,7th,Varicella,429,38276,37212,97.2,NA,727,1.9,112,0.3,99.4,0.6
2021-2022,State,7th,HepA,429,38276,37116,97,NA,727,1.9,112,0.3,99.2,0.8
2021-2022,State,7th,MCV,429,38276,35556,92.9,NA,727,1.9,112,0.3,95.1,4.9
2021-2022,State,7th,Tdap,429,38276,35681,93.2,NA,727,1.9,112,0.3,95.4,4.6
2021-2022,State,7th,All,429,38276,35137,91.8,NA,727,1.9,112,0.3,94,6
2021-2022,Tolland,Pre-K,Flu,15,598,572,95.7,5,8,2.2,2,0.3,98.2,1.8
2021-2022,Tolland,K,Polio,19,1174,1125,95.8,NA,22,1.9,11,0.9,98.6,1.4
2021-2022,Tolland,K,DTaP,19,1174,1126,95.9,NA,22,1.9,11,0.9,98.7,1.3
2021-2022,Tolland,K,MMR,19,1174,1124,95.7,NA,22,1.9,11,0.9,98.6,1.4
2021-2022,Tolland,K,HepB,19,1174,1135,96.7,NA,22,1.9,11,0.9,99.5,0.5
2021-2022,Tolland,K,Varicella,19,1174,1127,96,NA,22,1.9,11,0.9,98.8,1.2
2021-2022,Tolland,K,HepA,19,1174,1128,96.1,NA,22,1.9,11,0.9,98.9,1.1
2021-2022,Tolland,K,All,19,1174,1108,94.4,NA,22,1.9,11,0.9,97.2,2.8
2021-2022,Tolland,7th,Polio,11,1404,1355,96.5,NA,43,3.1,5,0.4,99.9,0.1
2021-2022,Tolland,7th,DTaP,11,1404,1355,96.5,NA,43,3.1,5,0.4,99.9,0.1
2021-2022,Tolland,7th,MMR,11,1404,1356,96.6,NA,43,3.1,5,0.4,100,0
2021-2022,Tolland,7th,HepB,11,1404,1353,96.4,NA,43,3.1,5,0.4,99.8,0.2
2021-2022,Tolland,7th,Varicella,11,1404,1355,96.5,NA,43,3.1,5,0.4,99.9,0.1
2021-2022,Tolland,7th,HepA,11,1404,1354,96.4,NA,43,3.1,5,0.4,99.9,0.1
2021-2022,Tolland,7th,MCV,11,1404,1343,95.7,NA,43,3.1,5,0.4,99.1,0.9
2021-2022,Tolland,7th,Tdap,11,1404,1344,95.7,NA,43,3.1,5,0.4,99.1,0.9
2021-2022,Tolland,7th,All,11,1404,1339,95.4,NA,43,3.1,5,0.4,98.8,1.2
2021-2022,Windham,Pre-K,Flu,19,850,736,86.6,7,19,3.1,9,1.1,90.7,9.3
2021-2022,Windham,K,Polio,25,1214,1128,92.9,NA,52,4.3,4,0.3,97.5,2.5
2021-2022,Windham,K,DTaP,25,1214,1127,92.8,NA,52,4.3,4,0.3,97.4,2.6
2021-2022,Windham,K,MMR,25,1214,1126,92.8,NA,52,4.3,4,0.3,97.4,2.6
2021-2022,Windham,K,HepB,25,1214,1148,94.6,NA,52,4.3,4,0.3,99.2,0.8
2021-2022,Windham,K,Varicella,25,1214,1123,92.5,NA,52,4.3,4,0.3,97.1,2.9
2021-2022,Windham,K,HepA,25,1214,1141,94,NA,52,4.3,4,0.3,98.6,1.4
2021-2022,Windham,K,All,25,1214,1106,91.1,NA,52,4.3,4,0.3,95.7,4.3
2021-2022,Windham,7th,Polio,21,1127,1090,96.7,NA,18,1.6,3,0.3,98.6,1.4
2021-2022,Windham,7th,DTaP,21,1127,1100,97.6,NA,18,1.6,3,0.3,99.5,0.5
2021-2022,Windham,7th,MMR,21,1127,1096,97.2,NA,18,1.6,3,0.3,99.1,0.9
2021-2022,Windham,7th,HepB,21,1127,1098,97.4,NA,18,1.6,3,0.3,99.3,0.7
2021-2022,Windham,7th,Varicella,21,1127,1095,97.2,NA,18,1.6,3,0.3,99,1
2021-2022,Windham,7th,HepA,21,1127,1087,96.5,NA,18,1.6,3,0.3,98.3,1.7
2021-2022,Windham,7th,MCV,21,1127,1023,90.8,NA,18,1.6,3,0.3,92.6,7.4
2021-2022,Windham,7th,Tdap,21,1127,1024,90.9,NA,18,1.6,3,0.3,92.7,7.3
2021-2022,Windham,7th,All,21,1127,945,83.9,NA,18,1.6,3,0.3,85.7,14.3
2020-2021,Fairfield,Pre-K,Flu,102,4525,3777,83.5,158,150,3.3,11,0.2,90.5,9.5
2020-2021,Fairfield,K,Polio,197,10206,9827,96.3,NA,252,2.5,22,0.2,99,1
2020-2021,Fairfield,K,DTaP,197,10206,9820,96.2,NA,252,2.5,22,0.2,98.9,1.1
2020-2021,Fairfield,K,MMR,197,10206,9805,96.1,NA,252,2.5,22,0.2,98.8,1.2
2020-2021,Fairfield,K,HepB,197,10206,9875,96.8,NA,252,2.5,22,0.2,99.4,0.6
2020-2021,Fairfield,K,Varicella,197,10206,9783,95.9,NA,252,2.5,22,0.2,98.5,1.5
2020-2021,Fairfield,K,HepA,197,10206,9850,96.5,NA,252,2.5,22,0.2,99.2,0.8
2020-2021,Fairfield,K,All,197,10206,9700,95,NA,252,2.5,22,0.2,97.7,2.3
2020-2021,Fairfield,7th,Polio,135,12654,12292,97.1,NA,223,1.8,65,0.5,99.4,0.6
2020-2021,Fairfield,7th,DTaP,135,12654,12252,96.8,NA,223,1.8,65,0.5,99.1,0.9
2020-2021,Fairfield,7th,MMR,135,12654,12302,97.2,NA,223,1.8,65,0.5,99.5,0.5
2020-2021,Fairfield,7th,HepB,135,12654,12290,97.1,NA,223,1.8,65,0.5,99.4,0.6
2020-2021,Fairfield,7th,Varicella,135,12654,12285,97.1,NA,223,1.8,65,0.5,99.4,0.6
2020-2021,Fairfield,7th,HepA,135,12654,12247,96.8,NA,223,1.8,65,0.5,99.1,0.9
2020-2021,Fairfield,7th,MCV,135,12654,11641,92,NA,223,1.8,65,0.5,94.3,5.7
2020-2021,Fairfield,7th,Tdap,135,12654,11668,92.2,NA,223,1.8,65,0.5,94.5,5.5
2020-2021,Fairfield,7th,All,135,12654,11458,90.5,NA,223,1.8,65,0.5,92.8,7.2
2020-2021,Hartford,Pre-K,Flu,90,4149,3257,78.5,159,100,2.4,10,0.2,85,15
2020-2021,Hartford,K,Polio,173,9090,8562,94.2,NA,172,1.9,26,0.3,96.4,3.6
2020-2021,Hartford,K,DTaP,173,9090,8585,94.4,NA,172,1.9,26,0.3,96.6,3.4
2020-2021,Hartford,K,MMR,173,9090,8589,94.5,NA,172,1.9,26,0.3,96.7,3.3
2020-2021,Hartford,K,HepB,173,9090,8681,95.5,NA,172,1.9,26,0.3,97.7,2.3
2020-2021,Hartford,K,Varicella,173,9090,8580,94.4,NA,172,1.9,26,0.3,96.6,3.4
2020-2021,Hartford,K,HepA,173,9090,8637,95,NA,172,1.9,26,0.3,97.2,2.8
2020-2021,Hartford,K,All,173,9090,8431,92.8,NA,172,1.9,26,0.3,94.9,5.1
2020-2021,Hartford,7th,Polio,124,11104,10835,97.6,NA,150,1.4,32,0.3,99.2,0.8
2020-2021,Hartford,7th,DTaP,124,11104,10817,97.4,NA,150,1.4,32,0.3,99.1,0.9
2020-2021,Hartford,7th,MMR,124,11104,10845,97.7,NA,150,1.4,32,0.3,99.3,0.7
2020-2021,Hartford,7th,HepB,124,11104,10824,97.5,NA,150,1.4,32,0.3,99.1,0.9
2020-2021,Hartford,7th,Varicella,124,11104,10839,97.6,NA,150,1.4,32,0.3,99.3,0.7
2020-2021,Hartford,7th,HepA,124,11104,10785,97.1,NA,150,1.4,32,0.3,98.8,1.2
2020-2021,Hartford,7th,MCV,124,11104,9896,89.1,NA,150,1.4,32,0.3,90.8,9.2
2020-2021,Hartford,7th,Tdap,124,11104,9983,89.9,NA,150,1.4,32,0.3,91.5,8.5
2020-2021,Hartford,7th,All,124,11104,9791,88.2,NA,150,1.4,32,0.3,89.8,10.2
2020-2021,Litchfield,Pre-K,Flu,23,670,606,90.4,22,15,2.2,3,0.4,96.4,3.6
2020-2021,Litchfield,K,Polio,40,1479,1404,94.9,NA,44,3,1,0.1,98,2
2020-2021,Litchfield,K,DTaP,40,1479,1405,95,NA,44,3,1,0.1,98,2
2020-2021,Litchfield,K,MMR,40,1479,1405,95,NA,44,3,1,0.1,98,2
2020-2021,Litchfield,K,HepB,40,1479,1412,95.5,NA,44,3,1,0.1,98.5,1.5
2020-2021,Litchfield,K,Varicella,40,1479,1402,94.8,NA,44,3,1,0.1,97.8,2.2
2020-2021,Litchfield,K,HepA,40,1479,1400,94.7,NA,44,3,1,0.1,97.7,2.3
2020-2021,Litchfield,K,All,40,1479,1384,93.6,NA,44,3,1,0.1,96.6,3.4
2020-2021,Litchfield,7th,Polio,27,1635,1599,97.8,NA,33,2,2,0.1,99.9,0.1
2020-2021,Litchfield,7th,DTaP,27,1635,1600,97.9,NA,33,2,2,0.1,100,0
2020-2021,Litchfield,7th,MMR,27,1635,1600,97.9,NA,33,2,2,0.1,100,0
2020-2021,Litchfield,7th,HepB,27,1635,1599,97.8,NA,33,2,2,0.1,99.9,0.1
2020-2021,Litchfield,7th,Varicella,27,1635,1594,97.5,NA,33,2,2,0.1,99.6,0.4
2020-2021,Litchfield,7th,HepA,27,1635,1582,96.8,NA,33,2,2,0.1,98.9,1.1
2020-2021,Litchfield,7th,MCV,27,1635,1562,95.5,NA,33,2,2,0.1,97.7,2.3
2020-2021,Litchfield,7th,Tdap,27,1635,1497,91.6,NA,33,2,2,0.1,93.7,6.3
2020-2021,Litchfield,7th,All,27,1635,1465,89.6,NA,33,2,2,0.1,91.7,8.3
2020-2021,Middlesex,Pre-K,Flu,12,371,336,90.6,10,10,2.7,2,0.5,96.5,3.5
2020-2021,Middlesex,K,Polio,25,1216,1165,95.8,NA,42,3.5,1,0.1,99.3,0.7
2020-2021,Middlesex,K,DTaP,25,1216,1165,95.8,NA,42,3.5,1,0.1,99.3,0.7
2020-2021,Middlesex,K,MMR,25,1216,1164,95.7,NA,42,3.5,1,0.1,99.3,0.7
2020-2021,Middlesex,K,HepB,25,1216,1163,95.6,NA,42,3.5,1,0.1,99.2,0.8
2020-2021,Middlesex,K,Varicella,25,1216,1161,95.5,NA,42,3.5,1,0.1,99,1
2020-2021,Middlesex,K,HepA,25,1216,1164,95.7,NA,42,3.5,1,0.1,99.3,0.7
2020-2021,Middlesex,K,All,25,1216,1152,94.7,NA,42,3.5,1,0.1,98.3,1.7
2020-2021,Middlesex,7th,Polio,16,1658,1622,97.8,NA,26,1.6,8,0.5,99.9,0.1
2020-2021,Middlesex,7th,DTaP,16,1658,1623,97.9,NA,26,1.6,8,0.5,99.9,0.1
2020-2021,Middlesex,7th,MMR,16,1658,1623,97.9,NA,26,1.6,8,0.5,99.9,0.1
2020-2021,Middlesex,7th,HepB,16,1658,1624,97.9,NA,26,1.6,8,0.5,100,0
2020-2021,Middlesex,7th,Varicella,16,1658,1621,97.8,NA,26,1.6,8,0.5,99.8,0.2
2020-2021,Middlesex,7th,HepA,16,1658,1614,97.3,NA,26,1.6,8,0.5,99.4,0.6
2020-2021,Middlesex,7th,MCV,16,1658,1531,92.3,NA,26,1.6,8,0.5,94.4,5.6
2020-2021,Middlesex,7th,Tdap,16,1658,1533,92.5,NA,26,1.6,8,0.5,94.5,5.5
2020-2021,Middlesex,7th,All,16,1658,1516,91.4,NA,26,1.6,8,0.5,93.5,6.5
2020-2021,New Haven,Pre-K,Flu,69,2705,2263,83.7,75,60,2.2,5,0.2,88.8,11.2
2020-2021,New Haven,K,Polio,158,7875,7482,95,NA,157,2,17,0.2,97.2,2.8
2020-2021,New Haven,K,DTaP,158,7875,7477,94.9,NA,157,2,17,0.2,97.2,2.8
2020-2021,New Haven,K,MMR,158,7875,7481,95,NA,157,2,17,0.2,97.2,2.8
2020-2021,New Haven,K,HepB,158,7875,7566,96.1,NA,157,2,17,0.2,98.3,1.7
2020-2021,New Haven,K,Varicella,158,7875,7466,94.8,NA,157,2,17,0.2,97,3
2020-2021,New Haven,K,HepA,158,7875,7516,95.4,NA,157,2,17,0.2,97.7,2.3
2020-2021,New Haven,K,All,158,7875,7386,93.8,NA,157,2,17,0.2,96,4
2020-2021,New Haven,7th,Polio,108,9444,9273,98.2,NA,107,1.1,12,0.1,99.4,0.6
2020-2021,New Haven,7th,DTaP,108,9444,9274,98.2,NA,107,1.1,12,0.1,99.5,0.5
2020-2021,New Haven,7th,MMR,108,9444,9268,98.1,NA,107,1.1,12,0.1,99.4,0.6
2020-2021,New Haven,7th,HepB,108,9444,9278,98.2,NA,107,1.1,12,0.1,99.5,0.5
2020-2021,New Haven,7th,Varicella,108,9444,9265,98.1,NA,107,1.1,12,0.1,99.4,0.6
2020-2021,New Haven,7th,HepA,108,9444,9250,97.9,NA,107,1.1,12,0.1,99.2,0.8
2020-2021,New Haven,7th,MCV,108,9444,8586,90.9,NA,107,1.1,12,0.1,92.2,7.8
2020-2021,New Haven,7th,Tdap,108,9444,8618,91.3,NA,107,1.1,12,0.1,92.5,7.5
2020-2021,New Haven,7th,All,108,9444,8534,90.4,NA,107,1.1,12,0.1,91.6,8.4
2020-2021,New London,Pre-K,Flu,33,1369,1184,86.5,23,39,2.8,7,0.5,91.5,8.5
2020-2021,New London,K,Polio,57,2405,2311,96.1,NA,59,2.5,5,0.2,98.8,1.2
2020-2021,New London,K,DTaP,57,2405,2311,96.1,NA,59,2.5,5,0.2,98.8,1.2
2020-2021,New London,K,MMR,57,2405,2316,96.3,NA,59,2.5,5,0.2,99,1
2020-2021,New London,K,HepB,57,2405,2322,96.5,NA,59,2.5,5,0.2,99.2,0.8
2020-2021,New London,K,Varicella,57,2405,2315,96.3,NA,59,2.5,5,0.2,98.9,1.1
2020-2021,New London,K,HepA,57,2405,2311,96.1,NA,59,2.5,5,0.2,98.8,1.2
2020-2021,New London,K,All,57,2405,2278,94.7,NA,59,2.5,5,0.2,97.4,2.6
2020-2021,New London,7th,Polio,40,2759,2683,97.2,NA,50,1.8,8,0.3,99.3,0.7
2020-2021,New London,7th,DTaP,40,2759,2570,93.1,NA,50,1.8,8,0.3,95.3,4.7
2020-2021,New London,7th,MMR,40,2759,2687,97.4,NA,50,1.8,8,0.3,99.5,0.5
2020-2021,New London,7th,HepB,40,2759,2684,97.3,NA,50,1.8,8,0.3,99.4,0.6
2020-2021,New London,7th,Varicella,40,2759,2679,97.1,NA,50,1.8,8,0.3,99.2,0.8
2020-2021,New London,7th,HepA,40,2759,2672,96.8,NA,50,1.8,8,0.3,98.9,1.1
2020-2021,New London,7th,MCV,40,2759,2369,85.9,NA,50,1.8,8,0.3,88,12
2020-2021,New London,7th,Tdap,40,2759,2409,87.3,NA,50,1.8,8,0.3,89.4,10.6
2020-2021,New London,7th,All,40,2759,2342,84.9,NA,50,1.8,8,0.3,87,13
2020-2021,State,Pre-K,Flu,363,14878,12344,83,499,421,2.8,44,0.3,89.4,10.6
2020-2021,State,K,Polio,697,34396,32759,95.2,NA,803,2.3,83,0.2,97.8,2.2
2020-2021,State,K,DTaP,697,34396,32768,95.3,NA,803,2.3,83,0.2,97.8,2.2
2020-2021,State,K,MMR,697,34396,32771,95.3,NA,803,2.3,83,0.2,97.9,2.1
2020-2021,State,K,HepB,697,34396,33046,96.1,NA,803,2.3,83,0.2,98.7,1.3
2020-2021,State,K,Varicella,697,34396,32711,95.1,NA,803,2.3,83,0.2,97.7,2.3
2020-2021,State,K,HepA,697,34396,32896,95.6,NA,803,2.3,83,0.2,98.2,1.8
2020-2021,State,K,All,697,34396,32312,93.9,NA,803,2.3,83,0.2,96.5,3.5
2020-2021,State,7th,Polio,483,42045,41010,97.5,NA,662,1.6,130,0.3,99.4,0.6
2020-2021,State,7th,DTaP,483,42045,40847,97.2,NA,662,1.6,130,0.3,99,1
2020-2021,State,7th,MMR,483,42045,41037,97.6,NA,662,1.6,130,0.3,99.5,0.5
2020-2021,State,7th,HepB,483,42045,41000,97.5,NA,662,1.6,130,0.3,99.4,0.6
2020-2021,State,7th,Varicella,483,42045,40995,97.5,NA,662,1.6,130,0.3,99.4,0.6
2020-2021,State,7th,HepA,483,42045,40842,97.1,NA,662,1.6,130,0.3,99,1
2020-2021,State,7th,MCV,483,42045,38233,90.9,NA,662,1.6,130,0.3,92.8,7.2
2020-2021,State,7th,Tdap,483,42045,38356,91.2,NA,662,1.6,130,0.3,93.1,6.9
2020-2021,State,7th,All,483,42045,37697,89.7,NA,662,1.6,130,0.3,91.5,8.5
2020-2021,Tolland,Pre-K,Flu,19,590,543,92,23,15,2.5,1,0.2,98.6,1.4
2020-2021,Tolland,K,Polio,25,1059,1012,95.6,NA,31,2.9,5,0.5,99,1
2020-2021,Tolland,K,DTaP,25,1059,1010,95.4,NA,31,2.9,5,0.5,98.8,1.2
2020-2021,Tolland,K,MMR,25,1059,1014,95.8,NA,31,2.9,5,0.5,99.2,0.8
2020-2021,Tolland,K,HepB,25,1059,1020,96.3,NA,31,2.9,5,0.5,99.7,0.3
2020-2021,Tolland,K,Varicella,25,1059,1012,95.6,NA,31,2.9,5,0.5,99,1
2020-2021,Tolland,K,HepA,25,1059,1017,96,NA,31,2.9,5,0.5,99.4,0.6
2020-2021,Tolland,K,All,25,1059,1001,94.5,NA,31,2.9,5,0.5,97.9,2.1
2020-2021,Tolland,7th,Polio,13,1381,1328,96.2,NA,51,3.7,2,0.1,100,0
2020-2021,Tolland,7th,DTaP,13,1381,1326,96,NA,51,3.7,2,0.1,99.9,0.1
2020-2021,Tolland,7th,MMR,13,1381,1328,96.2,NA,51,3.7,2,0.1,100,0
2020-2021,Tolland,7th,HepB,13,1381,1326,96,NA,51,3.7,2,0.1,99.9,0.1
2020-2021,Tolland,7th,Varicella,13,1381,1328,96.2,NA,51,3.7,2,0.1,100,0
2020-2021,Tolland,7th,HepA,13,1381,1327,96.1,NA,51,3.7,2,0.1,99.9,0.1
2020-2021,Tolland,7th,MCV,13,1381,1313,95.1,NA,51,3.7,2,0.1,98.9,1.1
