"Age Group","Year","Sex","Estimated Number","Population","Crude Rate","Age-Adjusted Rate","Cases (Sample)","Standard Error","CV","Lower 95% CI","Upper 95% CI"
"70 to 74","2015","Males","1,364","5,281,726","25.82","--","21","313","22.9%","750","1,977"
"70 to 74","2015","Females","--","6,175,400","--","--","--","--","--","--","--"
"70 to 74","2014","Males","--","5,091,435","--","--","--","--","--","--","--"
"70 to 74","2014","Females","--","5,967,007","--","--","--","--","--","--","--"
"70 to 74","2013","Males","--","4,878,749","--","--","--","--","--","--","--"
"70 to 74","2013","Females","1,361","5,723,763","23.79","--","28","320","23.5%","734","1,989"
"70 to 74","2012","Males","--","4,598,264","--","--","--","--","--","--","--"
"70 to 74","2012","Females","--","5,414,881","--","--","--","--","--","--","--"
"70 to 74","2011","Males","--","4,403,446","--","--","--","--","--","--","--"
"70 to 74","2011","Females","--","5,204,517","--","--","--","--","--","--","--"
"70 to 74","2010","Males","--","4,244,142","--","--","--","--","--","--","--"
"70 to 74","2010","Females","--","5,034,336","--","--","--","--","--","--","--"
"70 to 74","2009","Males","--","4,173,443","--","--","--","--","--","--","--"
"70 to 74","2009","Females","--","4,967,279","--","--","--","--","--","--","--"
"70 to 74","2008","Males","--","4,054,996","--","--","--","--","--","--","--"
"70 to 74","2008","Females","--","4,856,336","--","--","--","--","--","--","--"
"70 to 74","2007","Males","--","3,957,495","--","--","--","--","--","--","--"
"70 to 74","2007","Females","--","4,770,997","--","--","--","--","--","--","--"
"70 to 74","2006","Males","--","3,908,390","--","--","--","--","--","--","--"
"70 to 74","2006","Females","--","4,741,436","--","--","--","--","--","--","--"
"70 to 74","2005","Males","--","3,874,001","--","--","--","--","--","--","--"
"70 to 74","2005","Females","--","4,729,069","--","--","--","--","--","--","--"
"70 to 74","2004","Males","--","3,854,159","--","--","--","--","--","--","--"
"70 to 74","2004","Females","--","4,739,945","--","--","--","--","--","--","--"
"70 to 74","2003","Males","--","3,875,623","--","--","--","--","--","--","--"
"70 to 74","2003","Females","--","4,794,496","--","--","--","--","--","--","--"
"70 to 74","2002","Males","--","3,897,210","--","--","--","--","--","--","--"
"70 to 74","2002","Females","--","4,852,844","--","--","--","--","--","--","--"
"70 to 74","2001","Males","--","3,913,438","--","--","--","--","--","--","--"
"70 to 74","2001","Females","--","4,908,508","--","--","--","--","--","--","--"
"75 to 79","2023","Males","--","5,166,023","--","--","--","--","--","--","--"
"75 to 79","2023","Females","--","6,221,394","--","--","--","--","--","--","--"
"75 to 79","2022","Males","1,301","4,917,489","26.46","--","32","298","22.9%","716","1,886"
"75 to 79","2022","Females","--","5,936,838","--","--","--","--","--","--","--"
"75 to 79","2021","Males","--","4,465,975","--","--","--","--","--","--","--"
"75 to 79","2021","Females","--","5,436,501","--","--","--","--","--","--","--"
"75 to 79","2020","Males","--","4,359,121","--","--","--","--","--","--","--"
"75 to 79","2020","Females","1,854","5,302,206","34.97","--","24","496","26.7%","883","2,826"
"75 to 79","2019","Males","--","4,317,707","--","--","--","--","--","--","--"
"75 to 79","2019","Females","1,972","5,333,117","36.98","--","23","392","19.9%","1,204","2,740"
"75 to 79","2018","Males","--","4,134,784","--","--","--","--","--","--","--"
"75 to 79","2018","Females","--","5,115,395","--","--","--","--","--","--","--"
"75 to 79","2017","Males","--","3,889,506","--","--","--","--","--","--","--"
"75 to 79","2017","Females","1,699","4,833,186","35.16","--","22","500","29.5%","718","2,680"
"75 to 79","2016","Males","--","3,721,492","--","--","--","--","--","--","--"
"75 to 79","2016","Females","--","4,642,235","--","--","--","--","--","--","--"
"75 to 79","2015","Males","--","3,603,446","--","--","--","--","--","--","--"
"75 to 79","2015","Females","--","4,507,381","--","--","--","--","--","--","--"
"75 to 79","2014","Males","--","3,507,421","--","--","--","--","--","--","--"
"75 to 79","2014","Females","--","4,408,952","--","--","--","--","--","--","--"
"75 to 79","2013","Males","--","3,390,044","--","--","--","--","--","--","--"
"75 to 79","2013","Females","--","4,291,752","--","--","--","--","--","--","--"
"75 to 79","2012","Males","--","3,293,616","--","--","--","--","--","--","--"
"75 to 79","2012","Females","--","4,200,910","--","--","--","--","--","--","--"
"75 to 79","2011","Males","--","3,232,789","--","--","--","--","--","--","--"
"75 to 79","2011","Females","--","4,156,288","--","--","--","--","--","--","--"
"75 to 79","2010","Males","--","3,182,576","--","--","--","--","--","--","--"
"75 to 79","2010","Females","--","4,135,670","--","--","--","--","--","--","--"
"75 to 79","2009","Males","--","3,159,284","--","--","--","--","--","--","--"
"75 to 79","2009","Females","--","4,135,780","--","--","--","--","--","--","--"
"75 to 79","2008","Males","--","3,167,246","--","--","--","--","--","--","--"
"75 to 79","2008","Females","--","4,178,497","--","--","--","--","--","--","--"
"75 to 79","2007","Males","--","3,175,139","--","--","--","--","--","--","--"
"75 to 79","2007","Females","--","4,225,224","--","--","--","--","--","--","--"
"75 to 79","2006","Males","--","3,177,898","--","--","--","--","--","--","--"
"75 to 79","2006","Females","--","4,269,136","--","--","--","--","--","--","--"
"75 to 79","2005","Males","--","3,164,353","--","--","--","--","--","--","--"
"75 to 79","2005","Females","--","4,299,256","--","--","--","--","--","--","--"
"75 to 79","2004","Males","--","3,140,080","--","--","--","--","--","--","--"
"75 to 79","2004","Females","--","4,321,319","--","--","--","--","--","--","--"
"75 to 79","2003","Males","--","3,131,860","--","--","--","--","--","--","--"
"75 to 79","2003","Females","--","4,365,982","--","--","--","--","--","--","--"
"75 to 79","2002","Males","--","3,101,769","--","--","--","--","--","--","--"
"75 to 79","2002","Females","--","4,368,692","--","--","--","--","--","--","--"
"75 to 79","2001","Males","--","3,077,254","--","--","--","--","--","--","--"
"75 to 79","2001","Females","--","4,378,159","--","--","--","--","--","--","--"
"80 to 84","2023","Males","--","2,996,476","--","--","--","--","--","--","--"
"80 to 84","2023","Females","--","3,984,204","--","--","--","--","--","--","--"
"80 to 84","2022","Males","--","2,802,290","--","--","--","--","--","--","--"
"80 to 84","2022","Females","--","3,754,869","--","--","--","--","--","--","--"
"80 to 84","2021","Males","--","2,692,439","--","--","--","--","--","--","--"
"80 to 84","2021","Females","--","3,615,739","--","--","--","--","--","--","--"
"80 to 84","2020","Males","--","2,630,418","--","--","--","--","--","--","--"
"80 to 84","2020","Females","--","3,530,519","--","--","--","--","--","--","--"
"80 to 84","2019","Males","--","2,678,743","--","--","--","--","--","--","--"
"80 to 84","2019","Females","--","3,636,357","--","--","--","--","--","--","--"
"80 to 84","2018","Males","--","2,584,496","--","--","--","--","--","--","--"
"80 to 84","2018","Females","--","3,536,898","--","--","--","--","--","--","--"
"80 to 84","2017","Males","--","2,504,286","--","--","--","--","--","--","--"
"80 to 84","2017","Females","--","3,455,501","--","--","--","--","--","--","--"
"80 to 84","2016","Males","--","2,453,136","--","--","--","--","--","--","--"
"80 to 84","2016","Females","--","3,415,481","--","--","--","--","--","--","--"
"80 to 84","2015","Males","--","2,407,460","--","--","--","--","--","--","--"
"80 to 84","2015","Females","--","3,386,269","--","--","--","--","--","--","--"
"80 to 84","2014","Males","--","2,376,937","--","--","--","--","--","--","--"
"80 to 84","2014","Females","--","3,379,011","--","--","--","--","--","--","--"
"80 to 84","2013","Males","--","2,364,502","--","--","--","--","--","--","--"
"80 to 84","2013","Females","--","3,397,838","--","--","--","--","--","--","--"
"80 to 84","2012","Males","--","2,354,010","--","--","--","--","--","--","--"
"80 to 84","2012","Females","--","3,425,248","--","--","--","--","--","--","--"
"80 to 84","2011","Males","--","2,334,476","--","--","--","--","--","--","--"
"80 to 84","2011","Females","--","3,443,304","--","--","--","--","--","--","--"
"80 to 84","2010","Males","--","2,294,580","--","--","--","--","--","--","--"
"80 to 84","2010","Females","--","3,449,345","--","--","--","--","--","--","--"
"80 to 84","2009","Males","--","2,272,851","--","--","--","--","--","--","--"
"80 to 84","2009","Females","--","3,454,860","--","--","--","--","--","--","--"
"80 to 84","2008","Males","--","2,252,413","--","--","--","--","--","--","--"
"80 to 84","2008","Females","--","3,477,946","--","--","--","--","--","--","--"
"80 to 84","2007","Males","--","2,217,809","--","--","--","--","--","--","--"
"80 to 84","2007","Females","--","3,469,267","--","--","--","--","--","--","--"
"80 to 84","2006","Males","--","2,184,568","--","--","--","--","--","--","--"
"80 to 84","2006","Females","--","3,463,549","--","--","--","--","--","--","--"
"80 to 84","2005","Males","--","2,156,614","--","--","--","--","--","--","--"
"80 to 84","2005","Females","--","3,454,579","--","--","--","--","--","--","--"
"80 to 84","2004","Males","--","2,111,081","--","--","--","--","--","--","--"
"80 to 84","2004","Females","--","3,417,423","--","--","--","--","--","--","--"
"80 to 84","2003","Males","--","2,051,421","--","--","--","--","--","--","--"
"80 to 84","2003","Females","--","3,347,175","--","--","--","--","--","--","--"
"80 to 84","2002","Males","--","1,998,991","--","--","--","--","--","--","--"
"80 to 84","2002","Females","--","3,295,412","--","--","--","--","--","--","--"
"80 to 84","2001","Males","--","1,926,631","--","--","--","--","--","--","--"
"80 to 84","2001","Females","--","3,211,574","--","--","--","--","--","--","--"
"85+","2023","Males","--","2,283,961","--","--","--","--","--","--","--"
"85+","2023","Females","--","3,911,019","--","--","--","--","--","--","--"
"85+","2022","Males","--","2,209,209","--","--","--","--","--","--","--"
"85+","2022","Females","--","3,849,649","--","--","--","--","--","--","--"
"85+","2021","Males","--","2,186,277","--","--","--","--","--","--","--"
"85+","2021","Females","--","3,854,937","--","--","--","--","--","--","--"
"85+","2020","Males","--","2,176,431","--","--","--","--","--","--","--"
"85+","2020","Females","--","3,884,585","--","--","--","--","--","--","--"
"85+","2019","Males","--","2,374,207","--","--","--","--","--","--","--"
"85+","2019","Females","--","4,225,260","--","--","--","--","--","--","--"
"85+","2018","Males","--","2,332,518","--","--","--","--","--","--","--"
"85+","2018","Females","--","4,205,508","--","--","--","--","--","--","--"
"85+","2017","Males","--","2,287,279","--","--","--","--","--","--","--"
"85+","2017","Females","--","4,181,647","--","--","--","--","--","--","--"
"85+","2016","Males","--","2,234,625","--","--","--","--","--","--","--"
"85+","2016","Females","--","4,148,383","--","--","--","--","--","--","--"
"85+","2015","Males","--","2,169,767","--","--","--","--","--","--","--"
"85+","2015","Females","--","4,093,329","--","--","--","--","--","--","--"
"85+","2014","Males","--","2,099,470","--","--","--","--","--","--","--"
"85+","2014","Females","--","4,033,776","--","--","--","--","--","--","--"
"85+","2013","Males","--","2,029,069","--","--","--","--","--","--","--"
"85+","2013","Females","--","3,964,645","--","--","--","--","--","--","--"
"85+","2012","Males","--","1,962,734","--","--","--","--","--","--","--"
"85+","2012","Females","--","3,902,430","--","--","--","--","--","--","--"
"85+","2011","Males","--","1,883,056","--","--","--","--","--","--","--"
"85+","2011","Females","--","3,814,403","--","--","--","--","--","--","--"
"85+","2010","Males","--","1,790,030","--","--","--","--","--","--","--"
"85+","2010","Females","--","3,704,973","--","--","--","--","--","--","--"
"85+","2009","Males","--","1,735,347","--","--","--","--","--","--","--"
"85+","2009","Females","--","3,631,954","--","--","--","--","--","--","--"
"85+","2008","Males","--","1,662,814","--","--","--","--","--","--","--"
"85+","2008","Females","--","3,533,026","--","--","--","--","--","--","--"
"85+","2007","Males","--","1,593,236","--","--","--","--","--","--","--"
"85+","2007","Females","--","3,446,309","--","--","--","--","--","--","--"
"85+","2006","Males","--","1,518,390","--","--","--","--","--","--","--"
"85+","2006","Females","--","3,347,539","--","--","--","--","--","--","--"
"85+","2005","Males","--","1,443,844","--","--","--","--","--","--","--"
"85+","2005","Females","--","3,249,455","--","--","--","--","--","--","--"
"85+","2004","Males","--","1,379,299","--","--","--","--","--","--","--"
"85+","2004","Females","--","3,166,584","--","--","--","--","--","--","--"
"85+","2003","Males","--","1,338,201","--","--","--","--","--","--","--"
"85+","2003","Females","--","3,127,975","--","--","--","--","--","--","--"
"85+","2002","Males","--","1,291,362","--","--","--","--","--","--","--"
"85+","2002","Females","--","3,077,446","--","--","--","--","--","--","--"
"85+","2001","Males","--","1,261,064","--","--","--","--","--","--","--"
"85+","2001","Females","--","3,051,430","--","--","--","--","--","--","--"
"Total","","","10,266,654","6,270,054,078","163.74","170.82","185,262","578,215","5.6%","9.13 M","11.40 M"
"","","","","","","","","","","",""
"Injury Outcome: Nonfatal All Injuries","","","","","","","","","","",""
"Data Years: 2001 to 2023","","","","","","","","","","",""
"Geography: United States","","","","","","","","","","",""
"Disposition: All Cases","","","","","","","","","","",""
"Intent: Self-Harm","","","","","","","","","","",""
"Mechanism: All Causes","","","","","","","","","","",""
"Age: 10 to 14 through 85+","","","","","","","","","","",""
"Sex: Males, Females","","","","","","","","","","",""
"Race: All Races","","","","","","","","","","",""
"Ethnicity: All Ethnicities","","","","","","","","","","",""
"Year and Race Options: 2018 - 2021 by Single Race","","","","","","","","","","",""
"Notation: indicates suppressed value (based on <20 unweighted count, <1,200 weighted count, or coefficient of variation of the estimate >30%);","","","","","","","","","","",""
"--* indicates secondary suppression.","","","","","","","","","","",""
"ᵅ CDC does not recommend using NEISS-AIP data for nonfatal firearm injury prevalence estimates at this time. Firearm injuries have distinct geographic patterns, and estimates can be imprecise or change over time when based on a small number of facilities. CDC is working with CPSC to update and expand the NEISS hospital sample (Go to “About Nonfatal Injury Data” to learn more).","","","","","","","","","","",""
"Rows showing totals and sub-totals will not be available when only one row in the results table is suppressed.","","","","","","","","","","",""
"Data sources:","","","","","","","","","","",""
"National Center for Health Statistics-CDC annual mortality data files for WISQARS Fatal data.","","","","","","","","","","",""
"National Electronic Injury Surveillance System-All Injury Program for WISQARS Nonfatal data , an estimated number of hospital visits for injury care that start in an emergency department based on a U.S. nationally representative probability sample of hospitals.","","","","","","","","","","",""
"Produced by: National Center for Injury Prevention and Control, CDC.","","","","","","","","","","",""
