"","year","geography","grade","N","vax","value","percent_surveyed"
"490","2012-13","Washington","Kindergarten",87773,"varicella","90.3",94.7
"491","2011-12","Washington","Kindergarten",85134,"varicella","90.4",89.1
"492","2010-11","Washington","Kindergarten",NA,"varicella",NA,NA
"493","2014-15","Washington","Kindergarten",88809,"varicella","87.9",96.7
"494","2015-16","Washington","Kindergarten",86492,"varicella","89.4",97.3
"495","2016-17","Washington","Kindergarten",87142,"varicella","89.3",98.2
"496","2020-21","Washington","Kindergarten",74931,"varicella","93.2",100
"497","2019-20","Washington","Kindergarten",87757,"varicella","92.7",91.9
"498","2018-19","Washington","Kindergarten",87510,"varicella","89.7",96.9
"499","2017-18","Washington","Kindergarten",85118,"varicella","89.4",96.9
"500","2021-22","Washington","Kindergarten",87256,"varicella","91.3",97.3
"501","2009-10","Washington","Kindergarten",81511,"hep_b","92.8",93.3
"502","2015-16","Washington","Kindergarten",86492,"hep_b","92.7",97.3
"503","2014-15","Washington","Kindergarten",88809,"hep_b","91.9",96.7
"504","2016-17","Washington","Kindergarten",87142,"hep_b","90.2",98.2
"505","2013-14","Washington","Kindergarten",89165,"hep_b","91.8",88.5
"506","2012-13","Washington","Kindergarten",87773,"hep_b","93.4",94.7
"507","2010-11","Washington","Kindergarten",NA,"hep_b",NA,NA
"508","2011-12","Washington","Kindergarten",85134,"hep_b","93.0",89.1
"509","2020-21","Washington","Kindergarten",74931,"dtap","93.2",100
"510","2021-22","Washington","Kindergarten",87256,"dtap","91.4",97.3
"511","2018-19","Washington","Kindergarten",87510,"dtap","90.8",96.9
"512","2019-20","Washington","Kindergarten",87757,"dtap","92.8",91.9
"513","2017-18","Washington","Kindergarten",85118,"dtap","90.7",96.9
"514","2012-13","Washington","Kindergarten",87773,"varicella",NA,94.7
"515","2014-15","Washington","Kindergarten",88809,"varicella",NA,96.7
"516","2013-14","Washington","Kindergarten",89165,"varicella",NA,88.5
"517","2020-21","Washington","Kindergarten",74931,"varicella","NReq",100
"518","2019-20","Washington","Kindergarten",87757,"varicella","NReq",91.9
"519","2011-12","Washington","Kindergarten",85134,"varicella",NA,89.1
"520","2015-16","Washington","Kindergarten",86492,"varicella",NA,97.3
"521","2010-11","Washington","Kindergarten",NA,"varicella",NA,NA
"522","2009-10","Washington","Kindergarten",81511,"varicella",NA,93.3
"523","2023-24","Washington","Kindergarten",84053,"varicella","90.0",97.2
"524","2017-18","Washington","Kindergarten",85118,"hep_b","92.5",96.9
"525","2020-21","Washington","Kindergarten",74931,"hep_b","94.9",100
"526","2021-22","Washington","Kindergarten",87256,"hep_b","93.8",97.3
"527","2019-20","Washington","Kindergarten",87757,"hep_b","94.2",91.9
"528","2018-19","Washington","Kindergarten",87510,"hep_b","92.5",96.9
"529","2010-11","Washington","Kindergarten",NA,"polio",NA,NA
"530","2009-10","Washington","Kindergarten",81511,"polio","91.8",93.3
"531","2011-12","Washington","Kindergarten",85134,"polio","91.0",89.1
"532","2023-24","Washington","Kindergarten",84053,"polio","90.4",97.2
"533","2023-24","Washington","Kindergarten",84053,"hep_b","92.8",97.2
"534","2023-24","Washington","Kindergarten",84053,"varicella","90.0",97.2
"535","2023-24","Washington","Kindergarten",84053,"varicella","NReq",97.2
"536","2023-24","Washington","Kindergarten",84053,"dtap","90.2",97.2
"537","2023-24","Washington","Kindergarten",84053,"mmr","91.3",97.2
"538","2019-20","Washington","Kindergarten",87757,"polio","92.8",91.9
"539","2021-22","Washington","Kindergarten",87256,"polio","91.9",97.3
"540","2020-21","Washington","Kindergarten",74931,"polio","93.4",100
"541","2015-16","Washington","Kindergarten",86492,"polio","88.7",97.3
"542","2014-15","Washington","Kindergarten",88809,"polio","88.4",96.7
"543","2013-14","Washington","Kindergarten",89165,"polio","89.1",88.5
"544","2012-13","Washington","Kindergarten",87773,"polio","91.4",94.7
"545","2016-17","Washington","Kindergarten",87142,"polio","90.6",98.2
"546","2017-18","Washington","Kindergarten",85118,"polio","89.9",96.9
"547","2018-19","Washington","Kindergarten",87510,"polio","90.2",96.9
"548","2020-21","Washington","Kindergarten",74931,"varicella","93.2",100
"549","2021-22","United States","Kindergarten",3835130,"varicella","94.6",92.2
"550","2021-22","Washington","Kindergarten",87256,"varicella","91.3",97.3
"551","2018-19","Nevada","Kindergarten",37971,"polio","95.4",4.8
"552","2016-17","Nevada","Kindergarten",36885,"polio","90.4",3.7
"553","2017-18","Nevada","Kindergarten",37178,"polio","93.8",4.8
"554","2015-16","Nevada","Kindergarten",37118,"polio","95.6",3.3
"555","2014-15","Nevada","Kindergarten",36755,"polio","93.7",2.8
"556","2013-14","Nevada","Kindergarten",35782,"polio","94.8",3.1
"557","2012-13","Nevada","Kindergarten",36070,"polio","97.4",4.3
"558","2020-21","Nevada","Kindergarten",34171,"polio","96.1",94.7
"559","2021-22","Nevada","Kindergarten",36855,"polio","92.2",99.2
"560","2019-20","Nevada","Kindergarten",37724,"polio","95.0",99.9
"561","2020-21","Nevada","Kindergarten",34171,"varicella","95.8",94.7
"562","2021-22","Nevada","Kindergarten",36855,"varicella","92.1",99.2
"563","2022-23","Nevada","Kindergarten",34333,"mmr","92.8",89.1
"564","2022-23","Nevada","Kindergarten",34333,"varicella","NReq",89.1
"565","2022-23","Nevada","Kindergarten",34333,"dtap","92.2",89.1
"566","2022-23","Nevada","Kindergarten",34333,"varicella","92.6",89.1
"567","2022-23","Nevada","Kindergarten",34333,"polio","92.8",89.1
"568","2022-23","Nevada","Kindergarten",34333,"varicella","92.6",89.1
"569","2022-23","Nevada","Kindergarten",34333,"hep_b","94.2",89.1
"570","2015-16","Nevada","Kindergarten",37118,"hep_b","97.0",3.3
"571","2014-15","Nevada","Kindergarten",36755,"hep_b","96.7",2.8
"572","2017-18","Nevada","Kindergarten",37178,"hep_b","96.4",4.8
"573","2016-17","Nevada","Kindergarten",36885,"hep_b","95.7",3.7
"574","2013-14","Nevada","Kindergarten",35782,"hep_b","95.9",3.1
"575","2012-13","Nevada","Kindergarten",36070,"hep_b","96.8",4.3
"576","2010-11","Nevada","Kindergarten",NA,"hep_b",NA,NA
"577","2011-12","Nevada","Kindergarten",36557,"hep_b","97.8",5.2
"578","2021-22","Nevada","Kindergarten",36855,"varicella","92.1",99.2
"579","2009-10","Nevada","Kindergarten",35209,"hep_b","98.0",5.6
"580","2015-16","Nevada","Kindergarten",37118,"varicella","93.4",3.3
"581","2016-17","Nevada","Kindergarten",36885,"varicella","90.5",3.7
"582","2019-20","Nevada","Kindergarten",37724,"varicella","94.6",99.9
"583","2020-21","Nevada","Kindergarten",34171,"varicella","95.8",94.7
"584","2017-18","Nevada","Kindergarten",37178,"varicella","92.6",4.8
"585","2018-19","Nevada","Kindergarten",37971,"varicella","94.7",4.8
"586","2016-17","Nevada","Kindergarten",36885,"mmr","90.9",3.7
"587","2015-16","Nevada","Kindergarten",37118,"mmr","94.7",3.3
"588","2019-20","Nevada","Kindergarten",37724,"mmr","95.4",99.9
"589","2020-21","Nevada","Kindergarten",34171,"mmr","96.1",94.7
"590","2017-18","Nevada","Kindergarten",37178,"mmr","93.0",4.8
"591","2018-19","Nevada","Kindergarten",37971,"mmr","95.1",4.8
"592","2021-22","Nevada","Kindergarten",36855,"mmr","92.7",99.2
"593","2009-10","Nevada","Kindergarten",35209,"dtap","97.9",5.6
"594","2021-22","Nevada","Kindergarten",36855,"varicella","NReq",99.2
"595","2009-10","Nevada","Kindergarten",35209,"varicella","NReq",5.6
"596","2012-13","Nevada","Kindergarten",36070,"varicella",NA,4.3
"597","2014-15","Nevada","Kindergarten",36755,"varicella",NA,2.8
"598","2013-14","Nevada","Kindergarten",35782,"varicella",NA,3.1
"599","2019-20","Nevada","Kindergarten",37724,"varicella","NReq",99.9
"600","2020-21","Nevada","Kindergarten",34171,"varicella","NReq",94.7
"601","2015-16","Nevada","Kindergarten",37118,"varicella",NA,3.3
"602","2017-18","Nevada","Kindergarten",37178,"dtap","92.6",4.8
"603","2019-20","Nevada","Kindergarten",37724,"dtap","94.0",99.9
"604","2018-19","Nevada","Kindergarten",37971,"dtap","95.0",4.8
"605","2021-22","Nevada","Kindergarten",36855,"dtap","91.5",99.2
"606","2020-21","Nevada","Kindergarten",34171,"dtap","95.4",94.7
"607","2010-11","Nevada","Kindergarten",NA,"varicella",NA,NA
"608","2009-10","Nevada","Kindergarten",35209,"varicella","76.5",5.6
"609","2011-12","Nevada","Kindergarten",36557,"varicella",NA,5.2
"610","2011-12","Nevada","Kindergarten",36557,"polio","98.3",5.2
"611","2010-11","Nevada","Kindergarten",NA,"polio",NA,NA
"612","2009-10","Nevada","Kindergarten",35209,"polio","98.7",5.6
"613","2021-22","Nevada","Kindergarten",36855,"hep_b","93.9",99.2
"614","2020-21","Nevada","Kindergarten",34171,"hep_b","97.4",94.7
"615","2018-19","Nevada","Kindergarten",37971,"hep_b","97.4",4.8
"616","2019-20","Nevada","Kindergarten",37724,"hep_b","95.9",99.9
"617","2013-14","Nevada","Kindergarten",35782,"varicella","93.6",3.1
"618","2012-13","Nevada","Kindergarten",36070,"varicella","92.2",4.3
"619","2011-12","Nevada","Kindergarten",36557,"varicella","90.3",5.2
"620","2010-11","Nevada","Kindergarten",NA,"varicella",NA,NA
"621","2014-15","Nevada","Kindergarten",36755,"varicella","92.9",2.8
"622","2023-24","Nevada","Kindergarten",31261,"polio","91.5",91.3
"623","2023-24","Nevada","Kindergarten",31261,"hep_b","93.4",91.3
"624","2023-24","Nevada","Kindergarten",31261,"varicella","91.2",91.3
"625","2023-24","Nevada","Kindergarten",31261,"varicella","NReq",91.3
"626","2023-24","Nevada","Kindergarten",31261,"dtap","91.1",91.3
"627","2023-24","Nevada","Kindergarten",31261,"mmr","91.9",91.3
"628","2023-24","Nevada","Kindergarten",31261,"varicella","91.2",91.3
"629","2014-15","Nevada","Kindergarten",36755,"mmr","94.0",2.8
"630","2013-14","Nevada","Kindergarten",35782,"mmr","95.6",3.1
"631","2012-13","Nevada","Kindergarten",36070,"mmr","93.6",4.3
"632","2011-12","Nevada","Kindergarten",36557,"mmr","95.3",5.2
"633","2010-11","Nevada","Kindergarten",NA,"mmr",NA,NA
"634","2009-10","Nevada","Kindergarten",35209,"mmr","94.5",5.6
"635","2015-16","Nevada","Kindergarten",37118,"dtap","94.2",3.3
"636","2014-15","Nevada","Kindergarten",36755,"dtap","93.2",2.8
"637","2016-17","Nevada","Kindergarten",36885,"dtap","90.0",3.7
"638","2013-14","Nevada","Kindergarten",35782,"dtap","94.4",3.1
"639","2012-13","Nevada","Kindergarten",36070,"dtap","96.6",4.3
