Session Title,Number of ED Encounters by State of Residence (U.S.) and Age at Time of Visit Range,,,
Session Description,"All ED Enouncters as base,Slice by 53 states of residenceSlice by 6 age groupsSlice weekly from Jan 6, 2019- march 5 2025",,,
Session ID,2726769,,,
Data Model,ED Encounters,,,
Population Base,All ED Encounters,,,
Population Criteria Filters: These criteria are a summary and do not fully reflect the content of the exported session.,,,,
Session Date Range,1/1/2023 - 4/17/2025 (Based On Arrival Date),,,
Measure,Number of ED Encounters,,,
Export User,Stephanie Perniciaro,,,
Date of Export,4/28/2025,,,
,,,,
,,,,
,,,,Number of ED Encounters
State of Residence (U.S.),Age at Time of Visit,Year,Week,
Florida,Less than 1 Years,2023,Jan 1 – Jan 7,2083
,,,Jan 8 – Jan 14,1714
,,,Jan 15 – Jan 21,1741
,,,Jan 22 – Jan 28,1720
,,,Jan 29 – Feb 4,1810
,,,Feb 5 – Feb 11,1832
,,,Feb 12 – Feb 18,1729
,,,Feb 19 – Feb 25,1781
,,,Feb 26 – Mar 4,1685
,,,Mar 5 – Mar 11,1801
,,,Mar 12 – Mar 18,1760
,,,Mar 19 – Mar 25,1724
,,,Mar 26 – Apr 1,1766
,,,Apr 2 – Apr 8,1710
,,,Apr 9 – Apr 15,1788
,,,Apr 16 – Apr 22,1695
,,,Apr 23 – Apr 29,1693
,,,Apr 30 – May 6,1611
,,,May 7 – May 13,1550
,,,May 14 – May 20,1682
,,,May 21 – May 27,1685
,,,May 28 – Jun 3,1810
,,,Jun 4 – Jun 10,1777
,,,Jun 11 – Jun 17,1607
,,,Jun 18 – Jun 24,1588
,,,Jun 25 – Jul 1,1553
,,,Jul 2 – Jul 8,1581
,,,Jul 9 – Jul 15,1490
,,,Jul 16 – Jul 22,1599
,,,Jul 23 – Jul 29,1676
,,,Jul 30 – Aug 5,1721
,,,Aug 6 – Aug 12,1819
,,,Aug 13 – Aug 19,1778
,,,Aug 20 – Aug 26,2181
,,,Aug 27 – Sep 2,2155
,,,Sep 3 – Sep 9,2102
,,,Sep 10 – Sep 16,1883
,,,Sep 17 – Sep 23,1895
,,,Sep 24 – Sep 30,2067
,,,Oct 1 – Oct 7,2105
,,,Oct 8 – Oct 14,2161
,,,Oct 15 – Oct 21,2251
,,,Oct 22 – Oct 28,2372
,,,Oct 29 – Nov 4,2293
,,,Nov 5 – Nov 11,2236
,,,Nov 12 – Nov 18,2141
,,,Nov 19 – Nov 25,2292
,,,Nov 26 – Dec 2,2165
,,,Dec 3 – Dec 9,1967
,,,Dec 10 – Dec 16,2000
,,,Dec 17 – Dec 23,2011
,,,Dec 24 – Dec 30,2165
,,2023 – 2024,Dec 31 – Jan 6,2141
,,2024,Jan 7 – Jan 13,1789
,,,Jan 14 – Jan 20,1666
,,,Jan 21 – Jan 27,1718
,,,Jan 28 – Feb 3,1758
,,,Feb 4 – Feb 10,1820
,,,Feb 11 – Feb 17,1759
,,,Feb 18 – Feb 24,1759
,,,Feb 25 – Mar 2,1715
,,,Mar 3 – Mar 9,1762
,,,Mar 10 – Mar 16,1729
,,,Mar 17 – Mar 23,1834
,,,Mar 24 – Mar 30,1714
,,,Mar 31 – Apr 6,1686
,,,Apr 7 – Apr 13,1695
,,,Apr 14 – Apr 20,1746
,,,Apr 21 – Apr 27,1726
,,,Apr 28 – May 4,1691
,,,May 5 – May 11,1671
,,,May 12 – May 18,1652
,,,May 19 – May 25,1732
,,,May 26 – Jun 1,1846
,,,Jun 2 – Jun 8,1712
,,,Jun 9 – Jun 15,1623
,,,Jun 16 – Jun 22,1601
,,,Jun 23 – Jun 29,1570
,,,Jun 30 – Jul 6,1724
,,,Jul 7 – Jul 13,1819
,,,Jul 14 – Jul 20,1782
,,,Jul 21 – Jul 27,1733
,,,Jul 28 – Aug 3,1755
,,,Aug 4 – Aug 10,1636
,,,Aug 11 – Aug 17,1633
,,,Aug 18 – Aug 24,1762
,,,Aug 25 – Aug 31,1893
,,,Sep 1 – Sep 7,1908
,,,Sep 8 – Sep 14,1824
,,,Sep 15 – Sep 21,1865
,,,Sep 22 – Sep 28,1774
,,,Sep 29 – Oct 5,1803
,,,Oct 6 – Oct 12,1779
,,,Oct 13 – Oct 19,1866
,,,Oct 20 – Oct 26,1749
,,,Oct 27 – Nov 2,1884
,,,Nov 3 – Nov 9,2109
,,,Nov 10 – Nov 16,2131
,,,Nov 17 – Nov 23,2185
,,,Nov 24 – Nov 30,2340
,,,Dec 1 – Dec 7,2198
,,,Dec 8 – Dec 14,2111
,,,Dec 15 – Dec 21,2187
,,,Dec 22 – Dec 28,2508
,,2024 – 2025,Dec 29 – Jan 4,2549
,,2025,Jan 5 – Jan 11,1963
,,,Jan 12 – Jan 18,1914
,,,Jan 19 – Jan 25,1914
,,,Jan 26 – Feb 1,2133
,,,Feb 2 – Feb 8,2139
,,,Feb 9 – Feb 15,1958
,,,Feb 16 – Feb 22,1813
,,,Feb 23 – Mar 1,1817
,,,Mar 2 – Mar 8,1861
,,,Mar 9 – Mar 15,1856
,,,Mar 16 – Mar 22,1944
,,,Mar 23 – Mar 29,1836
,,,Mar 30 – Apr 5,1922
,,,Apr 6 – Apr 12,1343
,,,Apr 13 – Apr 17,10 or fewer
,≥ 1 and < 5 Years,2023,Jan 1 – Jan 7,5202
,,,Jan 8 – Jan 14,4612
,,,Jan 15 – Jan 21,4751
,,,Jan 22 – Jan 28,4926
,,,Jan 29 – Feb 4,5253
,,,Feb 5 – Feb 11,5415
,,,Feb 12 – Feb 18,5256
,,,Feb 19 – Feb 25,5389
,,,Feb 26 – Mar 4,5554
,,,Mar 5 – Mar 11,5601
,,,Mar 12 – Mar 18,5300
,,,Mar 19 – Mar 25,5086
,,,Mar 26 – Apr 1,5081
,,,Apr 2 – Apr 8,4980
,,,Apr 9 – Apr 15,4941
,,,Apr 16 – Apr 22,5220
,,,Apr 23 – Apr 29,5304
,,,Apr 30 – May 6,5101
,,,May 7 – May 13,5137
,,,May 14 – May 20,5149
,,,May 21 – May 27,5096
,,,May 28 – Jun 3,5175
,,,Jun 4 – Jun 10,4948
,,,Jun 11 – Jun 17,4468
,,,Jun 18 – Jun 24,4379
,,,Jun 25 – Jul 1,4290
,,,Jul 2 – Jul 8,4355
,,,Jul 9 – Jul 15,4167
,,,Jul 16 – Jul 22,4144
,,,Jul 23 – Jul 29,4031
,,,Jul 30 – Aug 5,4184
,,,Aug 6 – Aug 12,4085
,,,Aug 13 – Aug 19,4445
,,,Aug 20 – Aug 26,5014
,,,Aug 27 – Sep 2,5252
,,,Sep 3 – Sep 9,5387
,,,Sep 10 – Sep 16,5224
,,,Sep 17 – Sep 23,5264
,,,Sep 24 – Sep 30,5620
,,,Oct 1 – Oct 7,5939
,,,Oct 8 – Oct 14,6086
,,,Oct 15 – Oct 21,6192
,,,Oct 22 – Oct 28,6307
,,,Oct 29 – Nov 4,5952
,,,Nov 5 – Nov 11,6384
,,,Nov 12 – Nov 18,5897
,,,Nov 19 – Nov 25,5816
,,,Nov 26 – Dec 2,5220
,,,Dec 3 – Dec 9,5265
,,,Dec 10 – Dec 16,5394
,,,Dec 17 – Dec 23,5535
,,,Dec 24 – Dec 30,5555
,,2023 – 2024,Dec 31 – Jan 6,4876
,,2024,Jan 7 – Jan 13,4316
,,,Jan 14 – Jan 20,4282
,,,Jan 21 – Jan 27,4644
,,,Jan 28 – Feb 3,4824
,,,Feb 4 – Feb 10,4920
,,,Feb 11 – Feb 17,5118
,,,Feb 18 – Feb 24,4968
,,,Feb 25 – Mar 2,5267
,,,Mar 3 – Mar 9,5452
,,,Mar 10 – Mar 16,5280
,,,Mar 17 – Mar 23,5030
,,,Mar 24 – Mar 30,4774
,,,Mar 31 – Apr 6,4857
,,,Apr 7 – Apr 13,5050
,,,Apr 14 – Apr 20,5021
,,,Apr 21 – Apr 27,5092
,,,Apr 28 – May 4,4808
,,,May 5 – May 11,4934
,,,May 12 – May 18,4834
,,,May 19 – May 25,4966
,,,May 26 – Jun 1,5054
,,,Jun 2 – Jun 8,4541
,,,Jun 9 – Jun 15,4249
,,,Jun 16 – Jun 22,4290
,,,Jun 23 – Jun 29,4135
,,,Jun 30 – Jul 6,4323
,,,Jul 7 – Jul 13,3949
,,,Jul 14 – Jul 20,3972
,,,Jul 21 – Jul 27,3908
,,,Jul 28 – Aug 3,3759
,,,Aug 4 – Aug 10,3791
,,,Aug 11 – Aug 17,3674
,,,Aug 18 – Aug 24,4385
,,,Aug 25 – Aug 31,4705
,,,Sep 1 – Sep 7,4895
,,,Sep 8 – Sep 14,4680
,,,Sep 15 – Sep 21,5072
,,,Sep 22 – Sep 28,4956
,,,Sep 29 – Oct 5,4885
,,,Oct 6 – Oct 12,4899
,,,Oct 13 – Oct 19,4763
,,,Oct 20 – Oct 26,4982
,,,Oct 27 – Nov 2,5505
